Epoch,Batch,Loss
0,0,7126.29345703125
0,1,6865.93798828125
0,2,6804.5478515625
1,0,5837.2314453125
1,1,5428.9150390625
1,2,4416.20751953125
2,0,5287.41552734375
2,1,4660.27880859375
2,2,3771.783447265625
3,0,4001.76220703125
3,1,4466.85986328125
3,2,4216.67578125
4,0,4236.19482421875
4,1,3496.117431640625
4,2,3457.62890625
5,0,3770.96435546875
5,1,3247.908203125
5,2,2910.742919921875
6,0,2602.399169921875
6,1,3447.345703125
6,2,3097.969970703125
7,0,2168.293701171875
7,1,3261.927490234375
7,2,2693.6083984375
8,0,2531.456787109375
8,1,2503.433837890625
8,2,1954.3687744140625
9,0,2603.874267578125
9,1,1757.1005859375
9,2,1828.5467529296875
10,0,1997.5545654296875
10,1,1929.5479736328125
10,2,1037.0355224609375
11,0,1684.1614990234375
11,1,1600.5693359375
11,2,488.0058898925781
12,0,1072.8853759765625
12,1,967.8302612304688
12,2,1029.4315185546875
13,0,1026.0260009765625
13,1,463.0613708496094
13,2,145.34271240234375
14,0,450.42864990234375
14,1,28.14737319946289
14,2,219.79074096679688
15,0,-103.7094955444336
15,1,-24.459548950195312
15,2,-195.53848266601562
16,0,-320.7557373046875
16,1,-336.32183837890625
16,2,-881.0140380859375
17,0,-695.4091186523438
17,1,-772.5697021484375
17,2,-522.5949096679688
18,0,-910.986328125
18,1,-1070.21484375
18,2,-496.29241943359375
19,0,-1161.2281494140625
19,1,-1184.5760498046875
19,2,-665.21142578125
20,0,-1271.569091796875
20,1,-1287.8095703125
20,2,-914.4754638671875
21,0,-1182.1611328125
21,1,-1410.392333984375
21,2,-1325.6314697265625
22,0,-1348.0543212890625
22,1,-1408.121337890625
22,2,-1552.6727294921875
23,0,-1530.209716796875
23,1,-1711.778564453125
23,2,-1097.423583984375
24,0,-1513.6846923828125
24,1,-1576.508056640625
24,2,-1847.8642578125
25,0,-1576.9339599609375
25,1,-1729.4998779296875
25,2,-1686.3896484375
26,0,-1745.899169921875
26,1,-1740.0216064453125
26,2,-1615.0885009765625
27,0,-1770.717529296875
27,1,-1794.771240234375
27,2,-1843.1588134765625
28,0,-1940.273193359375
28,1,-1775.5797119140625
28,2,-1853.7099609375
29,0,-1946.1156005859375
29,1,-1897.614501953125
29,2,-1946.9320068359375
30,0,-1945.47314453125
30,1,-2008.2427978515625
30,2,-2039.417236328125
31,0,-1927.135009765625
31,1,-2116.81787109375
31,2,-2108.773681640625
32,0,-2092.44384765625
32,1,-1982.624755859375
32,2,-2267.105712890625
33,0,-2066.272216796875
33,1,-2181.28125
33,2,-2078.436279296875
34,0,-2150.80126953125
34,1,-2140.351806640625
34,2,-2178.277099609375
35,0,-2106.7138671875
35,1,-2228.638671875
35,2,-2152.5654296875
36,0,-2212.814208984375
36,1,-2142.736328125
36,2,-2264.180908203125
37,0,-2227.7197265625
37,1,-2148.492919921875
37,2,-2276.966064453125
38,0,-2333.45654296875
38,1,-2145.86669921875
38,2,-2161.108154296875
39,0,-2287.76513671875
39,1,-2188.69775390625
39,2,-2282.509033203125
40,0,-2322.10546875
40,1,-2183.697021484375
40,2,-2330.381103515625
41,0,-2300.84033203125
41,1,-2257.308349609375
41,2,-2306.5234375
42,0,-2261.058837890625
42,1,-2357.7900390625
42,2,-2226.897216796875
43,0,-2233.64013671875
43,1,-2409.90966796875
43,2,-2186.131103515625
44,0,-2368.17431640625
44,1,-2308.02783203125
44,2,-2248.527099609375
45,0,-2348.63037109375
45,1,-2346.525634765625
45,2,-2338.23974609375
46,0,-2444.3955078125
46,1,-2276.8759765625
46,2,-2379.2099609375
47,0,-2404.253173828125
47,1,-2341.767333984375
47,2,-2317.89453125
48,0,-2403.20263671875
48,1,-2408.49755859375
48,2,-2276.282470703125
49,0,-2444.622802734375
49,1,-2311.83935546875
49,2,-2524.289306640625
50,0,-2354.408203125
50,1,-2509.311279296875
50,2,-2408.094970703125
51,0,-2416.01171875
51,1,-2480.1357421875
51,2,-2436.79345703125
52,0,-2471.32080078125
52,1,-2470.8994140625
52,2,-2440.1650390625
53,0,-2431.406005859375
53,1,-2494.518798828125
53,2,-2568.044189453125
54,0,-2468.9248046875
54,1,-2550.96826171875
54,2,-2493.25830078125
55,0,-2503.15234375
55,1,-2542.7724609375
55,2,-2530.183837890625
56,0,-2616.4619140625
56,1,-2505.921875
56,2,-2446.617919921875
57,0,-2531.690185546875
57,1,-2604.072265625
57,2,-2490.009521484375
58,0,-2577.064697265625
58,1,-2568.604736328125
58,2,-2509.796630859375
59,0,-2604.236328125
59,1,-2588.14453125
59,2,-2510.9921875
60,0,-2598.437255859375
60,1,-2576.46240234375
60,2,-2646.6240234375
61,0,-2676.498046875
61,1,-2526.9814453125
61,2,-2646.721435546875
62,0,-2606.159912109375
62,1,-2618.41162109375
62,2,-2639.427734375
63,0,-2691.42041015625
63,1,-2549.074462890625
63,2,-2690.78173828125
64,0,-2604.4892578125
64,1,-2681.810791015625
64,2,-2642.453369140625
65,0,-2675.946044921875
65,1,-2638.124755859375
65,2,-2596.115478515625
66,0,-2681.16552734375
66,1,-2671.015625
66,2,-2634.375732421875
67,0,-2604.384765625
67,1,-2712.55908203125
67,2,-2767.83984375
68,0,-2680.255126953125
68,1,-2690.83740234375
68,2,-2749.927490234375
69,0,-2646.86572265625
69,1,-2740.203125
69,2,-2755.36376953125
70,0,-2707.29736328125
70,1,-2696.00927734375
70,2,-2797.302490234375
71,0,-2741.73291015625
71,1,-2746.96630859375
71,2,-2685.88330078125
72,0,-2723.33349609375
72,1,-2711.684326171875
72,2,-2846.359375
73,0,-2690.431396484375
73,1,-2748.265625
73,2,-2834.7998046875
74,0,-2778.491943359375
74,1,-2719.24658203125
74,2,-2800.35546875
75,0,-2787.991943359375
75,1,-2793.166015625
75,2,-2717.9130859375
76,0,-2758.40087890625
76,1,-2829.45263671875
76,2,-2738.307861328125
77,0,-2777.077880859375
77,1,-2870.01123046875
77,2,-2711.176513671875
78,0,-2868.92041015625
78,1,-2782.463134765625
78,2,-2745.140625
79,0,-2823.978759765625
79,1,-2827.331298828125
79,2,-2781.249755859375
80,0,-2795.510986328125
80,1,-2861.590087890625
80,2,-2807.78076171875
81,0,-2853.22021484375
81,1,-2810.18994140625
81,2,-2874.642333984375
82,0,-2921.378173828125
82,1,-2811.95849609375
82,2,-2797.859619140625
83,0,-2847.579345703125
83,1,-2885.6787109375
83,2,-2857.8935546875
84,0,-2899.0166015625
84,1,-2841.2724609375
84,2,-2865.1533203125
85,0,-2859.05126953125
85,1,-2920.150390625
85,2,-2881.70703125
86,0,-2873.520751953125
86,1,-2903.344482421875
86,2,-2959.559814453125
87,0,-2911.785400390625
87,1,-2928.86962890625
87,2,-2797.367919921875
88,0,-2971.513427734375
88,1,-2941.6787109375
88,2,-2685.75927734375
89,0,-2905.761474609375
89,1,-2921.15966796875
89,2,-2931.8955078125
90,0,-2873.947265625
90,1,-3021.501953125
90,2,-2864.001708984375
91,0,-2893.660888671875
91,1,-2953.6318359375
91,2,-3019.538330078125
92,0,-2913.364501953125
92,1,-3007.00927734375
92,2,-2947.107421875
93,0,-2970.010009765625
93,1,-3000.8369140625
93,2,-2882.634765625
94,0,-2930.29150390625
94,1,-3030.949462890625
94,2,-2980.353759765625
95,0,-2985.656494140625
95,1,-2941.6357421875
95,2,-3091.59228515625
96,0,-2965.637451171875
96,1,-3034.304931640625
96,2,-2995.66845703125
97,0,-3013.84130859375
97,1,-3008.13525390625
97,2,-3045.43505859375
98,0,-2983.891357421875
98,1,-3064.681640625
98,2,-3022.601806640625
99,0,-3099.536865234375
99,1,-3040.268310546875
99,2,-2943.145751953125
100,0,-3021.089111328125
100,1,-3080.478759765625
100,2,-3045.324462890625
101,0,-3103.95947265625
101,1,-3042.52587890625
101,2,-3034.197265625
102,0,-3075.036865234375
102,1,-3058.7353515625
102,2,-3125.984375
103,0,-3151.72509765625
103,1,-3044.047119140625
103,2,-3050.75634765625
104,0,-3166.731201171875
104,1,-3062.88623046875
104,2,-3024.5986328125
105,0,-3067.566650390625
105,1,-3145.38134765625
105,2,-3144.582275390625
106,0,-3199.902099609375
106,1,-3078.921142578125
106,2,-3059.97314453125
107,0,-3093.6552734375
107,1,-3179.32470703125
107,2,-3090.993408203125
108,0,-3153.389892578125
108,1,-3140.685302734375
108,2,-3160.640625
109,0,-3154.90576171875
109,1,-3158.4873046875
109,2,-3156.45849609375
110,0,-3148.984619140625
110,1,-3151.681884765625
110,2,-3272.47314453125
111,0,-3209.732666015625
111,1,-3192.2451171875
111,2,-3113.534423828125
112,0,-3224.094482421875
112,1,-3160.50146484375
112,2,-3162.423583984375
113,0,-3183.57470703125
113,1,-3250.4404296875
113,2,-3171.651123046875
114,0,-3202.110107421875
114,1,-3216.025390625
114,2,-3239.38720703125
115,0,-3218.7373046875
115,1,-3264.964111328125
115,2,-3148.597412109375
116,0,-3251.95849609375
116,1,-3206.591064453125
116,2,-3255.0302734375
117,0,-3255.45849609375
117,1,-3249.983642578125
117,2,-3170.41845703125
118,0,-3166.124267578125
