analysis,method,generator,comparison,K,n_overlap,jaccard,mean_absolute_rank_shift,median_absolute_rank_shift,topK_dropout_pct,mean_signed_rank_shift,median_signed_rank_shift
RF feature alignment,RF,ARF,Real vs Synthetic,25,0,0,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Real vs Real+Synthetic,25,6,0.13636363636363635,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Synthetic vs Real+Synthetic,25,5,0.1111111111111111,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Real vs Synthetic,25,0,0,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Real vs Real+Synthetic,25,2,0.041666666666666664,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Synthetic vs Real+Synthetic,25,6,0.13636363636363635,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Real vs Synthetic,25,1,0.02040816326530612,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Real vs Real+Synthetic,25,7,0.16279069767441862,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Synthetic vs Real+Synthetic,25,7,0.16279069767441862,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Real vs Synthetic,50,4,0.041666666666666664,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Real vs Real+Synthetic,50,12,0.13636363636363635,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Synthetic vs Real+Synthetic,50,11,0.12359550561797752,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Real vs Synthetic,50,4,0.041666666666666664,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Real vs Real+Synthetic,50,8,0.08695652173913043,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Synthetic vs Real+Synthetic,50,9,0.0989010989010989,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Real vs Synthetic,50,4,0.041666666666666664,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Real vs Real+Synthetic,50,13,0.14942528735632185,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Synthetic vs Real+Synthetic,50,17,0.20481927710843373,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Real vs Synthetic,100,5,0.02564102564102564,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Real vs Real+Synthetic,100,18,0.0989010989010989,NA,NA,NA,NA,NA
RF feature alignment,RF,ARF,Synthetic vs Real+Synthetic,100,18,0.0989010989010989,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Real vs Synthetic,100,5,0.02564102564102564,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Real vs Real+Synthetic,100,19,0.10497237569060773,NA,NA,NA,NA,NA
RF feature alignment,RF,CTGAN,Synthetic vs Real+Synthetic,100,19,0.10497237569060773,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Real vs Synthetic,100,12,0.06382978723404255,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Real vs Real+Synthetic,100,22,0.12359550561797752,NA,NA,NA,NA,NA
RF feature alignment,RF,TVAE,Synthetic vs Real+Synthetic,100,26,0.14942528735632185,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Real vs Synthetic,25,0,0,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Real vs Real+Synthetic,25,9,0.21951219512195122,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Synthetic vs Real+Synthetic,25,1,0.02040816326530612,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Real vs Synthetic,25,0,0,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Real vs Real+Synthetic,25,2,0.041666666666666664,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Synthetic vs Real+Synthetic,25,13,0.35135135135135137,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Real vs Synthetic,25,2,0.041666666666666664,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Real vs Real+Synthetic,25,5,0.1111111111111111,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Synthetic vs Real+Synthetic,25,12,0.3157894736842105,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Real vs Synthetic,50,2,0.02040816326530612,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Real vs Real+Synthetic,50,20,0.25,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Synthetic vs Real+Synthetic,50,3,0.030927835051546393,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Real vs Synthetic,50,0,0,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Real vs Real+Synthetic,50,12,0.13636363636363635,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Synthetic vs Real+Synthetic,50,23,0.2987012987012987,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Real vs Synthetic,50,3,0.030927835051546393,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Real vs Real+Synthetic,50,9,0.0989010989010989,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Synthetic vs Real+Synthetic,50,23,0.2987012987012987,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Real vs Synthetic,100,6,0.030927835051546393,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Real vs Real+Synthetic,100,38,0.2345679012345679,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,ARF,Synthetic vs Real+Synthetic,100,13,0.06951871657754011,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Real vs Synthetic,100,6,0.030927835051546393,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Real vs Real+Synthetic,100,29,0.1695906432748538,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,CTGAN,Synthetic vs Real+Synthetic,100,54,0.3698630136986301,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Real vs Synthetic,100,7,0.03626943005181347,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Real vs Real+Synthetic,100,24,0.13636363636363635,NA,NA,NA,NA,NA
NPDR feature alignment,NPDR,TVAE,Synthetic vs Real+Synthetic,100,41,0.2578616352201258,NA,NA,NA,NA,NA
Dilution,RF permutation importance,ARF,Real vs Real+ARF,25,6,0.13636363636363635,321.88,143,76,319.96,143
Dilution,RF permutation importance,CTGAN,Real vs Real+CTGAN,25,2,0.041666666666666664,462.6,307,92,462.52,307
Dilution,RF permutation importance,TVAE,Real vs Real+TVAE,25,7,0.16279069767441862,266.48,82,72,264,82
Dilution,RF permutation importance,ARF,Real vs Real+ARF,50,12,0.13636363636363635,418.3599999999999,187,76,413.87999999999994,187
Dilution,RF permutation importance,CTGAN,Real vs Real+CTGAN,50,8,0.08695652173913043,481.65999999999997,317,84,476.74,317
Dilution,RF permutation importance,TVAE,Real vs Real+TVAE,50,13,0.14942528735632185,413.37999999999994,270,74,410.54,270
Dilution,RF permutation importance,ARF,Real vs Real+ARF,100,18,0.0989010989010989,537.3300000000002,425,82,532.2699999999999,425
Dilution,RF permutation importance,CTGAN,Real vs Real+CTGAN,100,19,0.10497237569060773,581.1200000000001,380,81,574.92,380
Dilution,RF permutation importance,TVAE,Real vs Real+TVAE,100,22,0.12359550561797752,521.43,339.5,78,516.8100000000002,339.5
