gene,rank_real,rank_aug,signed_rank_shift,absolute_rank_shift,dropped
ARFGAP1,1,2,1,1,FALSE
NPFF,2,7,5,5,FALSE
CBL,3,1,-2,2,FALSE
DLEC1,4,10,6,6,FALSE
CIAPIN1,5,86,81,81,TRUE
NUP35,6,433,427,427,TRUE
ARHGEF7.AS1,7,26,19,19,FALSE
CALCOCO2,8,3,-5,5,FALSE
PRPF38B,9,1459,1450,1450,TRUE
DGKE,10,166,156,156,TRUE
CSPG4,11,39,28,28,FALSE
EIF2D,12,23,11,11,FALSE
TBC1D15,13,8,-5,5,FALSE
PSMA6,14,31,17,17,FALSE
ARL6IP6,15,28,13,13,FALSE
HNRNPA3P1,16,67,51,51,TRUE
RBBP5,17,316,299,299,TRUE
METAP1D,18,4,-14,14,FALSE
DNM1P35,19,36,17,17,FALSE
XRCC6BP1,20,558,538,538,TRUE
KIAA0101,21,232,211,211,TRUE
RPL12,22,199,177,177,TRUE
KDM1B,23,18,-5,5,FALSE
SURF6,24,71,47,47,TRUE
TIAM1,25,618,593,593,TRUE
RPL17,26,326,300,300,TRUE
YOD1,27,544,517,517,TRUE
ANKH,28,1723,1695,1695,TRUE
SETDB2,29,40,11,11,FALSE
MARK4,30,11,-19,19,FALSE
CASP5,31,469,438,438,TRUE
KIAA0195,32,1182,1150,1150,TRUE
PAFAH1B2,33,610,577,577,TRUE
PSMD10,34,367,333,333,TRUE
PSMD12,35,1167,1132,1132,TRUE
BRD3,36,95,59,59,TRUE
TRAPPC10,37,1278,1241,1241,TRUE
STX16.NPEPL1,38,382,344,344,TRUE
GNL3,39,119,80,80,TRUE
IRF2BPL,40,13,-27,27,FALSE
CDSN,41,55,14,14,TRUE
RAB20,42,405,363,363,TRUE
HMGXB4,43,374,331,331,TRUE
NXF2,44,845,801,801,TRUE
CCNE1,45,258,213,213,TRUE
SRP14.AS1,46,634,588,588,TRUE
ARF3,47,61,14,14,TRUE
ARHGAP31,48,52,4,4,TRUE
IREB2,49,384,335,335,TRUE
COPB2,50,134,84,84,TRUE
