gene,rank_real,rank_aug,signed_rank_shift,absolute_rank_shift,dropped
ARFGAP1,1,2,1,1,FALSE
NPFF,2,573,571,571,TRUE
CBL,3,449,446,446,TRUE
DLEC1,4,87,83,83,TRUE
CIAPIN1,5,1339,1334,1334,TRUE
NUP35,6,1352,1346,1346,TRUE
ARHGEF7.AS1,7,240,233,233,TRUE
CALCOCO2,8,7,-1,1,FALSE
PRPF38B,9,1004,995,995,TRUE
DGKE,10,669,659,659,TRUE
CSPG4,11,225,214,214,TRUE
EIF2D,12,66,54,54,TRUE
TBC1D15,13,26,13,13,FALSE
PSMA6,14,923,909,909,TRUE
ARL6IP6,15,283,268,268,TRUE
HNRNPA3P1,16,323,307,307,TRUE
RBBP5,17,52,35,35,TRUE
METAP1D,18,97,79,79,TRUE
DNM1P35,19,372,353,353,TRUE
XRCC6BP1,20,407,387,387,TRUE
KIAA0101,21,70,49,49,TRUE
RPL12,22,473,451,451,TRUE
KDM1B,23,1568,1545,1545,TRUE
SURF6,24,1155,1131,1131,TRUE
TIAM1,25,126,101,101,TRUE
RPL17,26,909,883,883,TRUE
YOD1,27,1458,1431,1431,TRUE
ANKH,28,346,318,318,TRUE
SETDB2,29,23,-6,6,FALSE
MARK4,30,16,-14,14,FALSE
CASP5,31,301,270,270,TRUE
KIAA0195,32,472,440,440,TRUE
PAFAH1B2,33,1370,1337,1337,TRUE
PSMD10,34,390,356,356,TRUE
PSMD12,35,6,-29,29,FALSE
BRD3,36,3,-33,33,FALSE
TRAPPC10,37,54,17,17,TRUE
STX16.NPEPL1,38,1034,996,996,TRUE
GNL3,39,65,26,26,TRUE
IRF2BPL,40,291,251,251,TRUE
CDSN,41,1332,1291,1291,TRUE
RAB20,42,201,159,159,TRUE
HMGXB4,43,1276,1233,1233,TRUE
NXF2,44,188,144,144,TRUE
CCNE1,45,412,367,367,TRUE
SRP14.AS1,46,1169,1123,1123,TRUE
ARF3,47,363,316,316,TRUE
ARHGAP31,48,1071,1023,1023,TRUE
IREB2,49,9,-40,40,FALSE
COPB2,50,465,415,415,TRUE
