analysis,generator,K,n_overlap,jaccard,mean_absolute_rank_shift,median_absolute_rank_shift,topK_dropout_pct
RF feature alignment,ARF,25,6,0.13636363636363635,NA,NA,NA
RF feature alignment,CTGAN,25,2,0.041666666666666664,NA,NA,NA
RF feature alignment,TVAE,25,7,0.16279069767441862,NA,NA,NA
RF feature alignment,ARF,50,12,0.13636363636363635,NA,NA,NA
RF feature alignment,CTGAN,50,8,0.08695652173913043,NA,NA,NA
RF feature alignment,TVAE,50,13,0.14942528735632185,NA,NA,NA
RF feature alignment,ARF,100,18,0.0989010989010989,NA,NA,NA
RF feature alignment,CTGAN,100,19,0.10497237569060773,NA,NA,NA
RF feature alignment,TVAE,100,22,0.12359550561797752,NA,NA,NA
NPDR feature alignment,ARF,25,9,0.21951219512195122,NA,NA,NA
NPDR feature alignment,CTGAN,25,2,0.041666666666666664,NA,NA,NA
NPDR feature alignment,TVAE,25,5,0.1111111111111111,NA,NA,NA
NPDR feature alignment,ARF,50,20,0.25,NA,NA,NA
NPDR feature alignment,CTGAN,50,12,0.13636363636363635,NA,NA,NA
NPDR feature alignment,TVAE,50,9,0.0989010989010989,NA,NA,NA
NPDR feature alignment,ARF,100,38,0.2345679012345679,NA,NA,NA
NPDR feature alignment,CTGAN,100,29,0.1695906432748538,NA,NA,NA
NPDR feature alignment,TVAE,100,24,0.13636363636363635,NA,NA,NA
Dilution,ARF,25,6,0.13636363636363635,321.88,143,76
Dilution,CTGAN,25,2,0.041666666666666664,462.6,307,92
Dilution,TVAE,25,7,0.16279069767441862,266.48,82,72
Dilution,ARF,50,12,0.13636363636363635,418.3599999999999,187,76
Dilution,CTGAN,50,8,0.08695652173913043,481.65999999999997,317,84
Dilution,TVAE,50,13,0.14942528735632185,413.37999999999994,270,74
Dilution,ARF,100,18,0.0989010989010989,537.3300000000002,425,82
Dilution,CTGAN,100,19,0.10497237569060773,581.1200000000001,380,81
Dilution,TVAE,100,22,0.12359550561797752,521.43,339.5,78
