gene,rank_real,rank_realplus,delta_rank,dropped
CBL,1,1,0,0
ARFGAP1,2,5,3,0
NPFF,3,11,8,0
BRD3,4,150,146,1
CIAPIN1,5,131,126,1
FAM120C,6,72,66,1
TBC1D15,7,7,0,0
PIP4K2C,8,263,255,1
EXOSC2,9,49,40,0
NUP35,10,70,60,1
C6orf118,11,51,40,1
CSPG4,12,10,-2,0
ZBTB11.AS1,13,75,62,1
METAP1D,14,68,54,1
SETDB2,15,96,81,1
ARAP1,16,387,371,1
DNM1P35,17,8,-9,0
KLC2,18,566,548,1
DLEC1,19,3,-16,0
LCT,20,21,1,0
AGPAT9,21,474,453,1
JAK2,22,30,8,0
PRDM5,23,568,545,1
ARF3,24,9,-15,0
YY1AP1,25,565,540,1
PSMC5,26,153,127,1
TRIM45,27,813,786,1
SRP14.AS1,28,104,76,1
CASP5,29,382,353,1
DGKE,30,125,95,1
LARP1B,31,480,449,1
BAZ2A,32,43,11,0
KPNA2,33,1778,1745,1
STX16.NPEPL1,34,1114,1080,1
ARL6IP6,35,18,-17,0
FAM169A,36,1420,1384,1
LSM14B,37,1599,1562,1
PSMA6,38,15,-23,0
CALCOCO2,39,2,-37,0
ZNF658,40,289,249,1
ATP6V1E2,41,1024,983,1
DIABLO,42,1553,1511,1
KIAA0195,43,1167,1124,1
HNRNPDL,44,97,53,1
CAND1.11,45,121,76,1
CHUK,46,1384,1338,1
PROSER2,47,1603,1556,1
EGLN2,48,818,770,1
RAB36,49,958,909,1
EIF2B2,50,1412,1362,1
