gene,rank_real,rank_realplus,delta_rank,dropped
CBL,1,110,109,1
ARFGAP1,2,7,5,0
NPFF,3,20,17,0
TBC1D15,4,974,970,1
CALCOCO2,5,9,4,0
DNM1P35,6,47,41,0
KIAA0195,7,1119,1112,1
DLEC1,8,77,69,1
TMEM174,9,418,409,1
EXOSC2,10,10,0,0
CIAPIN1,11,116,105,1
CSPG4,12,357,345,1
EIF2D,13,423,410,1
OSBPL3,14,310,296,1
NUP35,15,79,64,1
MARK4,16,16,0,0
PRPF38B,17,791,774,1
SERF2.C15ORF63,18,279,261,1
DNPH1,19,1517,1498,1
RBM4,20,1521,1501,1
HNRNPA3P1,21,234,213,1
ADPGK.AS1,22,88,66,1
ARL6IP6,23,470,447,1
HNRNPUL2,24,1420,1396,1
EPS15L1,25,730,705,1
CLIP1.AS1,26,394,368,1
DNAJC12,27,1423,1396,1
ZBTB11.AS1,28,22,-6,0
XRCC6BP1,29,703,674,1
HMGXB4,30,25,-5,0
DGKE,31,48,17,0
HMGN5,32,414,382,1
ARF3,33,1496,1463,1
MTCH2,34,541,507,1
ELF2,35,379,344,1
GJA1,36,671,635,1
WASF3,37,766,729,1
NUDT22,38,1130,1092,1
DXO,39,1140,1101,1
LARP1B,40,169,129,1
POC1A,41,1187,1146,1
PSMA6,42,404,362,1
STK38L,43,1107,1064,1
EIF4E3,44,1220,1176,1
CCAT1,45,901,856,1
PFN1P2,46,623,577,1
WDYHV1,47,149,102,1
BRD3,48,55,7,1
DHX40,49,98,49,1
PAPD5,50,1242,1192,1
