gene,ks_pvalue,wil_pvalue,q_ks,q_wil
AAK1,0.22759061982465156,0.5057015774523077,0.9998962485192302,1
AANAT,0.1069490326961174,0.14885308279809328,0.9998962485192302,1
AATK,0.9907090680763875,0.903977314396141,0.9998962485192302,1
ABCB11,0.3659249616336402,0.6381021697022737,0.9998962485192302,1
ABCF2,0.16298159702880727,0.22403192037665054,0.9998962485192302,1
ABCF3,0.7169030800416858,0.3461602038344184,0.9998962485192302,1
ABCG1,0.8916701802765525,0.8846814698167857,0.9998962485192302,1
ABHD16B,0.8178603583726503,0.8441830989582066,0.9998962485192302,1
ABI2,0.3716950008395792,0.4535004196937757,0.9998962485192302,1
ABRA,0.17627415948433223,0.3878897315001449,0.9998962485192302,1
ACAA2,0.7478753911861356,0.8868221887429312,0.9998962485192302,1
ACAD11,0.6072330480707622,0.8739901094707001,0.9998962485192302,1
ACAP3,0.3895399459582571,0.25204689082419524,0.9998962485192302,1
ACBD4,0.7071381300397974,0.8868223408363499,0.9998962485192302,1
ACKR1,0.6873513125695699,0.8166979161359287,0.9998962485192302,1
ACMSD,0.8723532639752754,0.9902664641962732,0.9998962485192302,1
ACOT1,0.7006014631728495,0.5719113637399642,0.9998962485192302,1
ACP2,0.9615597256235373,0.46501747556352657,0.9998962485192302,1
ACSL6,0.038960126038667955,0.04735790216646902,0.9998962485192302,1
ACSS2,0.6000775174311023,0.7316443636193316,0.9998962485192302,1
ACTBL2,0.00706857911218893,0.8781994268888084,0.9998962485192302,1
ACTG1P4,0.6294513438610964,0.8418794930875827,0.9998962485192302,1
ACTR10,0.5024509182909374,0.9427282333979617,0.9998962485192302,1
ACTR1B,0.4873929418900645,0.2681062249221234,0.9998962485192302,1
ACTR3B,0.25682047513604594,0.6169404360983262,0.9998962485192302,1
ADARB1,0.671805857031644,0.7052863833752196,0.9998962485192302,1
ADCY8,0.682984273093643,0.3324436246997755,0.9998962485192302,1
ADD2,0.2517167806704446,0.6036449613211669,0.9998962485192302,1
ADD3.AS1,0.9202998152717876,0.6992578349550433,0.9998962485192302,1
ADIPOR2,0.2673378510092725,0.3878908550937851,0.9998962485192302,1
ADIRF,0.3041014091627959,0.5091750523377068,0.9998962485192302,1
ADNP2,0.6845457746540631,0.5793078669473004,0.9998962485192302,1
ADPGK.AS1,0.6897542320898145,0.2812035092453823,0.9998962485192302,1
ADRBK2,0.21623197685909473,0.17826719408823152,0.9998962485192302,1
ADSS,0.30297343512916697,0.7336851777823853,0.9998962485192302,1
ADSSL1,0.7107003125691402,0.8868218845542544,0.9998962485192302,1
AFM,0.2822216766551674,0.2498106164705686,0.9998962485192302,1
AGA,0.8034316643673698,0.3968940843997885,0.9998962485192302,1
AGPAT4,0.6590608652883376,0.5356136398942759,0.9998962485192302,1
AGPAT9,0.9557564905420707,0.7957130729101306,0.9998962485192302,1
AHCYL2,0.32752046753139885,0.2611401068925091,0.9998962485192302,1
AHSA2,0.7500776475858334,0.5144070196377644,0.9998962485192302,1
AIFM2,0.9996597934498779,0.9018302035951056,0.9998962485192302,1
AIM1L,0.8180007820628891,0.5391901952842395,0.9998962485192302,1
AIMP2,0.5175826969090949,0.5830239104280841,0.9998962485192302,1
AK3,0.465115768511299,0.6654487973750807,0.9998962485192302,1
AKAP11,0.2688725146543074,0.17483102238934264,0.9998962485192302,1
AKAP8L,0.040979401731204367,0.048273252778457815,0.9998962485192302,1
AKIRIN2,0.5094440017056094,0.3151762967885084,0.9998962485192302,1
AKNAD1,0.9430912125383786,0.9405685350094471,0.9998962485192302,1
AKT1S1,0.7371190074762647,0.5005120753029642,0.9998962485192302,1
AKT3,0.19312896711511227,0.3659338174105962,0.9998962485192302,1
ALAS1,0.8414368557876649,0.7521316801337191,0.9998962485192302,1
ALDOB,0.8836949024226683,0.7032589626465884,0.9998962485192302,1
AMDHD1,0.8068517053010016,0.7275697495251034,0.9998962485192302,1
AMH,0.6292432151965274,0.8272471043786884,0.9998962485192302,1
AMZ2P1,0.9799795065134804,0.8953936719280748,0.9998962485192302,1
ANAPC1P1,0.7739313592254213,0.5774536971515328,0.9998962485192302,1
ANAPC7,0.6286465170878988,0.8040906720738838,0.9998962485192302,1
ANKH,0.8959170660418263,0.8272465292757256,0.9998962485192302,1
ANKK1,0.3614354405989057,0.4453802939706199,0.9998962485192302,1
ANKMY1,0.4900323077406416,0.7873582757601714,0.9998962485192302,1
ANKRD12,0.4213387962712728,0.28485155182413474,0.9998962485192302,1
ANKRD13B,0.1754582997885137,0.5682271546167021,0.9998962485192302,1
ANKRD18A,0.6371528326107033,0.2910000493437758,0.9998962485192302,1
ANKRD44.IT1,0.540152749249933,0.6792938085174343,0.9998962485192302,1
ANP32A.IT1,0.26044154251922813,0.06234916407657287,0.9998962485192302,1
ANP32C,0.005349819152943445,0.018820698458436966,0.9998962485192302,1
ANXA13,0.30105305185061115,0.4437562706104102,0.9998962485192302,1
ANXA7,0.639141329095899,0.23345627426557172,0.9998962485192302,1
ANXA8,0.7026996344559054,0.6992626731552647,0.9998962485192302,1
AP1B1P1,0.2883712398241476,0.1872021483563489,0.9998962485192302,1
AP1M2,0.5737450107815695,0.6207742253034225,0.9998962485192302,1
AP2B1,0.339696234965313,0.37608349904935695,0.9998962485192302,1
AP2M1,0.0665686209836135,0.12065320668248133,0.9998962485192302,1
AP2S1,0.7675873819625566,0.5867449461645262,0.9998962485192302,1
AP3M1,0.06420223454920805,0.1206519506537585,0.9998962485192302,1
AP3M2,0.9837708558568684,0.9297919387927391,0.9998962485192302,1
APBB2,0.27903067514696167,0.6055458184707592,0.9998962485192302,1
APELA,0.42922378272063205,0.31779589235096223,0.9998962485192302,1
APEX2,0.36095770959798995,0.4650179285244704,0.9998962485192302,1
APH1B,0.44008685914941714,0.27638998054470554,0.9998962485192302,1
APIP,0.6148026600963181,0.8675862161199384,0.9998962485192302,1
ARAP1,0.6566244616581494,0.37754738728148696,0.9998962485192302,1
AREG,0.7125536382565435,0.4851289527083289,0.9998962485192302,1
ARF1,0.8337996640969216,0.844182682731635,0.9998962485192302,1
ARF3,0.4114009681935557,0.27758014087195815,0.9998962485192302,1
ARF4,0.884829132198825,0.737770205590209,0.9998962485192302,1
ARFGAP1,0.9550500785521041,0.9621605659286061,0.9998962485192302,1
ARFGAP3,0.8420888289379224,0.7398160360752912,0.9998962485192302,1
ARFGEF1,0.22676394329228397,0.33381119458663494,0.9998962485192302,1
ARFGEF2,0.8744880788780358,0.7978061682484061,0.9998962485192302,1
ARFIP1,0.5056900164214742,0.2812056247341975,0.9998962485192302,1
ARHGAP10,0.4289297133131964,0.8314733147250892,0.9998962485192302,1
ARHGAP31,0.22183692009310774,0.11804089395119043,0.9998962485192302,1
ARHGDIB,0.6151657708982355,0.7255326980328771,0.9998962485192302,1
ARHGDIG,0.24785589239208872,0.7808950197098098,0.9998962485192302,1
ARHGEF10,0.8276712969123496,0.7790077396831254,0.9998962485192302,1
ARHGEF25,0.7201536010685662,0.502235546523371,0.9998962485192302,1
ARHGEF3.AS1,0.5560331319466565,0.6188610473416152,0.9998962485192302,1
ARHGEF7,0.26193507106994246,0.10181547281216384,0.9998962485192302,1
ARHGEF7.AS1,0.7166550717407625,0.5338304102105103,0.9998962485192302,1
ARID1B,0.696666001122123,0.3938752039226588,0.9998962485192302,1
ARID4B,0.03003327574056565,0.40296513963245884,0.9998962485192302,1
ARIH2,0.6014993281835951,0.7936223207904752,0.9998962485192302,1
ARIH2OS,0.21659460471486022,0.05684900458310573,0.9998962485192302,1
ARL3,0.7422101889966456,0.5284965820407495,0.9998962485192302,1
ARL6IP4,0.33443096700075714,0.18720632484196195,0.9998962485192302,1
ARL6IP6,0.9175292420774331,0.9556796334956708,0.9998962485192302,1
ARMC9,0.9276571991916294,0.9535208084767023,0.9998962485192302,1
ARPC1B,0.28347062230178066,0.17226053840022898,0.9998962485192302,1
ARPC2,0.4861194794454058,0.8188012059805128,0.9998962485192302,1
ARPC3,0.8646180074488422,0.9168672835276093,0.9998962485192302,1
ARPC4,0.8597021779447003,0.5886125854946804,0.9998962485192302,1
ARPC4.TTLL3,0.23766297470796557,0.16720168429932475,0.9998962485192302,1
ARPC5L,0.924834957530054,0.9405705616401049,0.9998962485192302,1
ARPP21,0.7138302788740241,0.8484279634027867,0.9998962485192302,1
ARRDC1,0.18640933837764084,0.5409761079392215,0.9998962485192302,1
ARRDC3,0.6944455554824798,0.9600002381324793,0.9998962485192302,1
ASB7,0.8696696175033707,0.7336850044707565,0.9998962485192302,1
ASB8,0.8688496887097874,0.7174150109948403,0.9998962485192302,1
ASB9,0.7750322286240264,0.7052956006119881,0.9998962485192302,1
ASCC3,0.7062714407028153,0.8590611758152663,0.9998962485192302,1
ASIC1,0.6636146781869418,0.7978063689683133,0.9998962485192302,1
ATF3,0.6271153557754239,0.4469973371960639,0.9998962485192302,1
ATF5,0.739310287429673,0.9664823411305893,0.9998962485192302,1
ATF7,0.9261029578289326,0.7336828380468636,0.9998962485192302,1
ATG13,0.6003138329787648,0.5499929375672863,0.9998962485192302,1
ATG14,0.4528562251118403,0.39387904343773994,0.9998962485192302,1
ATG4C,0.5553537591365736,0.912572287307686,0.9998962485192302,1
ATG9B,0.7806189815680116,0.3968940843997885,0.9998962485192302,1
ATN1,0.3390358365672158,0.17569418162594794,0.9998962485192302,1
ATP11C,0.46642262862870654,0.262291356910662,0.9998962485192302,1
ATP1A1.AS1,0.1277848893526765,0.26808275254355085,0.9998962485192302,1
ATP2A3,0.22855038714181028,0.39689105017407955,0.9998962485192302,1
ATP2C2,0.41796524844140553,0.47837331775915637,0.9998962485192302,1
ATP5B,0.12795724965251587,0.19361127731217895,0.9998962485192302,1
ATP5C1,0.8221870832456601,0.6342085966889599,0.9998962485192302,1
ATP5D,0.5321776287362454,0.8124920449645063,0.9998962485192302,1
ATP5G1,0.6949419177351486,0.4885242061303022,0.9998962485192302,1
ATP5G3,0.11391825834782568,0.2219709495373026,0.9998962485192302,1
ATP5H,0.8474667629828252,0.5427801831351236,0.9998962485192302,1
ATP5L2,0.9165989488373707,0.9729670501800474,0.9998962485192302,1
ATP5S,0.031038357301552022,0.07781714964891631,0.9998962485192302,1
ATP6AP1L,0.9900910562037326,0.837822930188387,0.9998962485192302,1
ATP6V0A1,0.5064106713378932,0.8484283179288947,0.9998962485192302,1
ATP6V0E2,0.5637026654939131,0.3517384238219706,0.9998962485192302,1
ATP6V1E2,0.8825881660364268,0.8314738200487176,0.9998962485192302,1
ATP6V1G2,0.935455418687145,0.8739897713461289,0.9998962485192302,1
ATRIP,0.811674086917528,0.5998791594285671,0.9998962485192302,1
ATXN1L,0.7835418067441855,0.6972561048946351,0.9998962485192302,1
ATXN2,0.6194545528836998,0.5627284059917171,0.9998962485192302,1
ATXN3,0.5658992944450285,0.36449237536089096,0.9998962485192302,1
ATXN7L3B,0.2570866092683921,0.12195530572881094,0.9998962485192302,1
ATXN8OS,0.5894672154085929,0.4936445703933724,0.9998962485192302,1
AURKA,0.5487073362768089,0.8825412023275554,0.9998962485192302,1
AZU1,0.5112668071322983,0.7665790280325329,0.9998962485192302,1
B4GALT1.AS1,0.2086690896543427,0.12795474840842266,0.9998962485192302,1
BACE1,0.8735149584773447,0.7915334008290786,0.9998962485192302,1
BAGE,0.23284280437157806,0.22299292468962442,0.9998962485192302,1
BARD1,0.35412618108752425,0.12130295200384678,0.9998962485192302,1
BAZ1B,0.3979129091121255,0.7583134003226342,0.9998962485192302,1
BAZ2A,0.2963703421300937,0.9233299973640299,0.9998962485192302,1
BAZ2B,0.46591250602175754,0.8846794944095465,0.9998962485192302,1
BCAR1,0.05640043342963146,0.40144058968264057,0.9998962485192302,1
BCDIN3D,0.18722622733047872,0.23560184740434623,0.9998962485192302,1
BCL7C,0.058126210871174665,0.31127480522680145,0.9998962485192302,1
BCMO1,0.8702302630738326,0.6074368617193631,0.9998962485192302,1
BECN1P1,0.979470179371227,0.8209155218578557,0.9998962485192302,1
BFSP1,0.9207450844320831,0.8911063587272666,0.9998962485192302,1
BID,0.2948874132872519,0.5463803906559745,0.9998962485192302,1
BIN3,0.9704481082616765,0.7562279886177432,0.9998962485192302,1
BIRC3,0.8752359007131225,0.9686438943516817,0.9998962485192302,1
BLID,0.984603799008382,0.9297917493067652,0.9998962485192302,1
BLVRA,0.6412611266721897,0.6713700919067318,0.9998962485192302,1
BMS1P17,0.4291309089267758,0.6654501790186146,0.9998962485192302,1
BNIP3,0.7617234225773787,0.8761264997758206,0.9998962485192302,1
BPY2,0.8048234686341309,0.5057012895882518,0.9998962485192302,1
BRAT1,0.9009259140745365,0.754191182404407,0.9998962485192302,1
BRD3,0.6265626385938018,0.6832547112634726,0.9998962485192302,1
BRD4,0.08153789949438836,0.02285406157449845,0.9998962485192302,1
BRD7,0.6527593939950403,0.557251405770981,0.9998962485192302,1
BRDT,0.19136464002783912,0.14284419230998446,0.9998962485192302,1
BRMS1,0.47300594273464963,0.5214261864213767,0.9998962485192302,1
BRMS1L,0.2465224202683165,0.3297608475053626,0.9998962485192302,1
BRPF3,0.713463913941935,0.8145975587364638,0.9998962485192302,1
BSG,0.2865592248437762,0.5590741903527149,0.9998962485192302,1
BSN,0.3453797009799484,0.2634478890876863,0.9998962485192302,1
BTBD10,0.9198548378616183,0.9492026229484818,0.9998962485192302,1
BTF3L4,0.5270994749837377,0.4616710131041407,0.9998962485192302,1
BTF3P11,0.781719269176746,0.8505530674439853,0.9998962485192302,1
BTG2,0.7076331038981926,0.9233267913945172,0.9998962485192302,1
BTN2A2,0.8829497248050298,0.4766926629852228,0.9998962485192302,1
BUD13,0.5231091429024177,0.6381008059636365,0.9998962485192302,1
C10orf55,0.8222847977373837,0.5682056906165789,0.9998962485192302,1
C10orf82,0.04145565488823111,0.05307794061160471,0.9998962485192302,1
C11orf63,0.9122326045176217,0.7296044741092904,0.9998962485192302,1
C14orf164,0.6355760026741109,0.9664826810408018,0.9998962485192302,1
C14orf169,0.5243992855560831,0.4090903950288422,0.9998962485192302,1
C16orf70,0.056123978604991874,0.08012948023541909,0.9998962485192302,1
C16orf74,0.9333986076613775,0.921177354967587,0.9998962485192302,1
C17orf64,0.7323181182992342,0.797805967527901,0.9998962485192302,1
C17orf89,0.38777480853677926,0.36450129795170155,0.9998962485192302,1
C19orf10,0.476868457383412,0.7377717433609661,0.9998962485192302,1
C1orf50,0.8601586430933581,0.557253805807835,0.9998962485192302,1
C4orf32,0.45265867533190496,0.636165730039644,0.9998962485192302,1
C6orf118,0.3565362676555296,0.288530803757176,0.9998962485192302,1
C6orf99,0.18541401488823464,0.28730051825218006,0.9998962485192302,1
C7orf31,0.8096939485057261,0.8889641112469084,0.9998962485192302,1
C9orf84,0.5656655547457969,0.6112367001690067,0.9998962485192302,1
CAB39L,0.7706424020316126,0.8103891658457187,0.9998962485192302,1
CALCOCO2,0.18929304233552624,0.4919322556559057,0.9998962485192302,1
CALCR,0.827060714746704,0.47166941364977977,0.9998962485192302,1
CALM2,0.7310531103220456,0.7977971352339603,0.9998962485192302,1
CALML3,0.16910817466091752,0.248692017259568,0.9998962485192302,1
CALR3,0.2542667746234151,0.11491909493926107,0.9998962485192302,1
CAMK2N1,0.9041726266165837,0.6575884626643991,0.9998962485192302,1
CAND1,0.9257534041264328,0.745966213023981,0.9998962485192302,1
CAND1.11,0.35298975896670665,0.32043102405786505,0.9998962485192302,1
CAP1,0.7722036248667041,0.597983486675234,0.9998962485192302,1
CAP2,0.6528492876519026,0.9578364171441397,0.9998962485192302,1
CAPN10,0.7170683898323545,0.4902283957692753,0.9998962485192302,1
CAPN3,0.37012111720381796,0.38936363168530197,0.9998962485192302,1
CAPNS2,0.2752271754234049,0.43573485253915745,0.9998962485192302,1
CAPRIN2,0.931396633041205,0.871853780948922,0.9998962485192302,1
CARD10,0.9686261743676186,0.8505471226332322,0.9998962485192302,1
CARD9,0.021101127243630308,0.017364218706764332,0.9998962485192302,1
CARS2,0.9562804104217867,0.9945924294447812,0.9998962485192302,1
CASC4,0.3357131710298243,0.7727941867137383,0.9998962485192302,1
CASC5,0.2703818402079353,0.9276374127134102,0.9998962485192302,1
CASP3,0.23571221667534029,0.14284270551418465,0.9998962485192302,1
CASP5,0.22185341637741723,0.16720225870152675,0.9998962485192302,1
