gene,ks_pvalue,wil_pvalue,q_ks,q_wil
AAK1,0,1.0295177434147811e-19,0,3.5232824117246733e-19
AANAT,0.42495116617487405,0.1612052905089598,0.4268664390365073,0.17515480376445783
AATK,0,4.7304763122979716e-24,0,2.9184910950959454e-23
ABCB11,0.1699129227861853,0.7053156062751488,0.17341427666157322,0.7198498717736636
ABCF2,0,2.6491126910951012e-27,0,3.3233386991006976e-26
ABCF3,3.672939730137159e-11,7.821388103365891e-11,6.952071697276597e-11,1.3766569583713113e-10
ABCG1,0,4.496444248662558e-18,0,1.3207842002249327e-17
ABHD16B,1.5210055437364645e-14,8.040228754361103e-18,3.7048536673252957e-14,2.3010799147714038e-17
ABI2,2.574607194105738e-13,9.59080568629361e-12,5.752537126679863e-13,1.761112928801391e-11
ABRA,2.220446049250313e-16,1.0833249073061184e-17,6.522331640549108e-16,3.061122519376877e-17
ACAA2,1.4201703701921531e-8,1.7764582026103888e-8,2.2588436842574566e-8,2.810492435895584e-8
ACAD11,0,2.7056847202248495e-21,0,1.0989147736129627e-20
ACAP3,9.232525532976155e-8,1.4392992771720294e-6,1.4057722481038842e-7,2.072916487235645e-6
ACBD4,0.10949932250139771,0.03903441112943964,0.11318103885216935,0.04447179236024976
ACKR1,1.0620792113558153e-6,3.0258180211773005e-6,1.5185944136707448e-6,4.285173575662531e-6
ACMSD,0.10214846060926941,0.03216567212119856,0.10582841677299673,0.03683454938477651
ACOT1,0.006378292958683751,0.05599186110015812,0.007197782497046284,0.06310587126522245
ACP2,0,2.235170535677846e-26,0,2.189730255556923e-25
ACSL6,0,5.81812942283852e-24,0,3.503497656290587e-23
ACSS2,3.3306690738754696e-16,3.5745834354775495e-18,9.609357538381816e-16,1.055212295605376e-17
ACTBL2,6.187558138758265e-4,0.46285053509495255,7.439255671885358e-4,0.4814833746057762
ACTG1P4,1.9489341983369712e-5,4.4016211697251877e-4,2.5913122115099327e-5,5.617817140744459e-4
ACTR10,3.0276573821153008e-5,3.870717928778284e-7,3.981056867486417e-5,5.713154028983179e-7
ACTR1B,6.014289066769152e-11,2.3327935918600047e-11,1.1170288964634789e-10,4.1971452818227936e-11
ACTR3B,0,5.018245106693874e-24,0,3.0747529296340815e-23
ADARB1,1.4432899320127035e-15,6.386170799254538e-15,3.91092089480038e-15,1.4268850294574992e-14
ADCY8,0,1.4876594377367213e-16,0,3.838634989123841e-16
ADD2,0.0025551314140610515,0.00767149935412171,0.002958311241084971,0.009173898959355473
ADD3.AS1,3.346814803073528e-8,9.464705231631462e-9,5.243735319754042e-8,1.517587178776879e-8
ADIPOR2,0,6.725231734345573e-22,0,2.9828577568005364e-21
ADIRF,2.2194894555571665e-7,8.229995800715043e-6,3.30882081877795e-7,1.1340094677492212e-5
ADNP2,0,4.894747443731264e-23,0,2.4864201402201833e-22
ADPGK.AS1,0,1.0058585089907968e-19,0,3.4489340798665204e-19
ADRBK2,0.00758189216943439,0.001844926060441848,0.008502209898177055,0.0022796279735050693
ADSS,0,6.4499439916982915e-24,0,3.833416712399351e-23
ADSSL1,2.0853874183046628e-11,2.3217470933249864e-15,4.0415714856926236e-11,5.3622734033658695e-15
AFM,0,7.604438979860496e-25,0,5.380442341702882e-24
AGA,0,4.615713418057412e-21,0,1.8167366499771225e-20
AGPAT4,0,7.281903481299826e-23,0,3.616611116199885e-22
AGPAT9,4.045097590221758e-12,2.372779465235945e-13,8.214588842101816e-12,4.8572511900294955e-13
AHCYL2,0,3.525067882844817e-24,0,2.2855258309499304e-23
AHSA2,4.1762580689219675e-6,9.095848087206827e-4,5.799274249912669e-6,0.0011413016987677532
AIFM2,0,1.151765413799051e-19,0,3.919079642755168e-19
AIM1L,2.6665442483753132e-5,6.830938718086809e-4,3.516603842347029e-5,8.656406349928059e-4
AIMP2,0,7.278935270683119e-24,0,4.283281052022442e-23
AK3,6.063487933971601e-9,2.0780880551761336e-9,9.945905231160408e-9,3.4660720321600055e-9
AKAP11,6.768585691929729e-12,5.892281609519653e-14,1.3514432574144129e-11,1.2566911614561655e-13
AKAP8L,1.2206299169115198e-4,0.02148075900840882,1.5369937442466383e-4,0.024918798511381214
AKIRIN2,0,3.4038448298503084e-28,0,5.784544754419476e-27
AKNAD1,0.18240728173085463,0.8898803991576536,0.18552891233663396,0.8959100800102182
AKT1S1,0,7.620674939425872e-30,0,1.9137554108445534e-28
AKT3,1.1502554464470904e-10,4.4155042884473353e-13,2.101337562515535e-10,8.895869091866213e-13
ALAS1,0.046466972772481796,0.9690933755376029,0.04922793372153003,0.9701816331182178
ALDOB,7.584639249991199e-9,1.1601734872750855e-9,1.2350147746789321e-8,1.9496600639127967e-9
AMDHD1,2.69865252033874e-7,1.2548891864735316e-6,4.00307607634274e-7,1.8148061040927602e-6
AMH,0,3.089251063929382e-19,0,1.0088158694113715e-18
AMZ2P1,5.349455323155894e-10,1.0570639501453508e-7,9.369429117079528e-10,1.6081442176699322e-7
ANAPC1P1,0,1.66239651603044e-21,0,6.889321561930493e-21
ANAPC7,5.220301968478225e-11,4.360818133414584e-8,9.746385769420602e-11,6.757304367590744e-8
ANKH,0,1.9527378134475097e-25,0,1.5270752286740832e-24
ANKK1,4.6833203981577753e-11,1.6219229718154509e-12,8.78985291570033e-11,3.129749630678516e-12
ANKMY1,0.11124408168839484,0.1923672513905066,0.11485130147678517,0.2077473102539511
ANKRD12,2.993400860518136e-9,2.0243202672832512e-10,5.025643817611899e-9,3.4906799193095135e-10
ANKRD13B,0,9.193219106338251e-23,0,4.478554553716148e-22
ANKRD18A,0,4.2848511272725415e-24,0,2.6996076183487425e-23
ANKRD44.IT1,1.8984813721090177e-14,8.890690126665216e-18,4.5805037705959115e-14,2.5322844242562426e-17
ANP32A.IT1,1.1394852950097345e-8,5.364290166398319e-8,1.822154512109737e-8,8.280977806656453e-8
ANP32C,9.992007221626409e-16,1.60145612942758e-17,2.757855863182645e-15,4.449614331879924e-17
ANXA13,4.572786593826095e-12,1.4763128554677103e-15,9.223165720352858e-12,3.4726462022413294e-15
ANXA7,0,8.732012647991326e-29,0,1.71089874190863e-27
ANXA8,0,4.761137384401638e-19,0,1.5159121350693072e-18
AP1B1P1,4.604337679237069e-6,2.2143638589879213e-4,6.363979908588911e-6,2.856881881747803e-4
AP1M2,0.007140349563026338,0.10722852730640649,0.008037401054845935,0.11816345129006352
AP2B1,1.5210055437364645e-14,4.795422078159144e-13,3.7048536673252957e-14,9.650380999275118e-13
AP2M1,6.106226635438361e-13,1.0867222152581585e-15,1.3133175019284196e-12,2.5732081139512574e-15
AP2S1,0,7.081350124442725e-29,0,1.4347780990774293e-27
AP3M1,0.010546920173460372,0.05315402568408861,0.011716609762791179,0.06002129689343255
AP3M2,0.0029419961967472874,0.1193164894984355,0.003393000788357318,0.13091772355428338
APBB2,0.05623833642418041,0.33921656852350224,0.05933310878361756,0.3572493453499141
APELA,2.8487342484950773e-9,7.175354567544612e-13,4.7872697125982305e-9,1.421511257186276e-12
APEX2,0.013883985037781765,0.3420801528320921,0.015299842597258893,0.3598539614599238
APH1B,0,7.017267197458681e-22,0,3.0893302254490932e-21
APIP,2.711736390992314e-10,2.207786566462999e-10,4.825375234669957e-10,3.8033656502449535e-10
ARAP1,1.2630085421960757e-8,5.609654051198152e-10,2.016064664937872e-8,9.507617084872913e-10
AREG,0.014688662635897631,0.1773852397992734,0.016146661824787592,0.19214938187248146
ARF1,4.3160065400948966e-5,1.9002277505755175e-4,5.617109241597957e-5,2.462286394822782e-4
ARF3,2.033935131429132e-9,4.0925660420032497e-10,3.434191609221726e-9,6.969479706677932e-10
ARF4,4.6444769985498624e-7,2.1349182622126292e-7,6.798934719552057e-7,3.1827418574624735e-7
ARFGAP1,0,4.0863551813171905e-24,0,2.5921738921045608e-23
ARFGAP3,3.47499806707674e-14,5.591689884388725e-12,8.206518614036858e-14,1.0439772841743558e-11
ARFGEF1,0,9.90141641329044e-29,0,1.9189375505322666e-27
ARFGEF2,1.8532758994105336e-8,3.5253531918431765e-10,2.9372363810213166e-8,6.026562551348403e-10
