att,pval.adj,pval.att,beta.raw.att,beta.Z.att,beta.0,pval.0,gene,p_adj_use,beta_use
EPS15L1,1.805423067107614e-6,1.012576033150653e-9,0.5780014073291834,6.06217906171705,-0.6238089765072312,8.80908056750051e-8,AAK1,1.805423067107614e-6,0
SETMAR,1.848948892958915e-5,2.0739752024216655e-8,0.5044291000852654,5.535448967977134,-0.5257393732062637,1.7437503757046569e-6,AANAT,1.848948892958915e-5,0
NAP1L2,6.392358164049788e-5,1.0755510090941875e-7,0.4861625923944737,5.229038706384637,-0.5678410570777749,2.5903333117396993e-6,AATK,6.392358164049788e-5,0
PRKAA2,7.1433228820462285e-05,1.6025401866620815e-7,0.5117499227443227,5.152417723477528,-0.5168147604702957,5.333604193772299e-6,ABCB11,7.1433228820462285e-05,0
NDST3,7.260147629293342e-5,2.035935958859602e-7,0.47839406285913166,5.105941246224566,-0.5305092738703673,5.551283456976186e-6,ABCF2,7.260147629293342e-5,0
SRXN1,1.6163964327527657e-4,5.439359841007624e-7,0.4574090643102606,4.911117152515067,-0.5129112901498044,1.1183185270001053e-5,ABCF3,1.6163964327527657e-4,0
NOS1,2.5035969770927834e-4,9.82904029144671e-7,0.4011956948323644,4.790485322340323,-0.49419532676293393,1.982902619902173e-5,ABCG1,2.5035969770927834e-4,0
SEC24D,3.2988063926513085e-4,1.4801150387667115e-6,0.4538395214133412,4.705445572720309,-0.5199341430373264,1.999028562147231e-5,ABHD16B,3.2988063926513085e-4,0
SCAMP3,0.0015020503822653084,7.581858351311147e-6,0.390268063727446,4.351754609286301,-0.48535044112258813,7.040294062183207e-5,ABI2,0.0015020503822653084,0
FBXL4,0.002360101899221516,1.3236690405056174e-5,0.404673645243087,4.225246135973086,-0.4642480821199528,1.1572133077167554e-4,ABRA,0.002360101899221516,0
STAU2,0.003931210346825004,2.425312047957097e-5,0.36870269635793146,4.0839242214863285,-0.44392528574082046,1.9121279349853038e-4,ACAA2,0.003931210346825004,0
PHF21B,0.004587751639433879,3.0876623484692396e-5,0.36319518275564666,4.026378161083647,-0.4268257840008119,2.4821628045193603e-4,ACAD11,0.004587751639433879,0
YARS2,0.004711539775635714,3.43522249485498e-5,0.3552187385325713,4.000727975887207,-0.4495556954983317,2.250679842011761e-4,ACAP3,0.004711539775635714,0
ARF3,0.009110603149598325,7.345548428274538e-5,0.3526368235928701,3.81367586067952,-0.388294784052208,5.691598804699368e-4,ACBD4,0.009110603149598325,0
