att,pval.adj,pval.att,beta.raw.att,beta.Z.att,beta.0,pval.0,gene,p_adj_use,beta_use
MAN2B1,3.2239508771077485e-4,2.0840927724869737e-7,0.11618507269439246,5.063887090733223,-0.12664211504232983,3.9082020665004555e-5,AAK1,3.2239508771077485e-4,0
ANKK1,3.2239508771077485e-4,3.6163217914837334e-7,0.11281425438405787,4.957618865337293,-0.11748195701146011,7.788957751924102e-5,AANAT,3.2239508771077485e-4,0
ARHGAP31,4.2059974298256535e-4,8.074033972937018e-7,0.11083852906929186,4.79884897993963,-0.12187324711452223,8.900606186902791e-5,AATK,4.2059974298256535e-4,0
PSMD12,4.2059974298256535e-4,1.1383692276978e-6,0.10886137643772029,4.729440774434472,-0.11774388811737854,1.2491457009861532e-4,ABCB11,4.2059974298256535e-4,0
PRPF40B,4.2059974298256535e-4,1.1794720779096055e-6,0.10482890721829716,4.722220609595314,-0.11412355683786339,1.5038781618834657e-4,ABCF2,4.2059974298256535e-4,0
TAF4B,9.118636953711255e-4,3.0685261762348585e-6,0.1012425333915121,4.52360942782846,-0.10979380061235283,2.7565883204267155e-4,ABCF3,9.118636953711255e-4,0
PIGU,0.0020311524231315103,7.97423834095377e-6,0.09739946360270561,4.316907732345858,-0.10650931885643386,4.795734137157219e-4,ABCG1,0.0020311524231315103,0
CLOCK,0.002311833860251608,1.0372782323058252e-5,0.09434822344771839,4.258388226045816,-0.09853713470069808,7.643045702301319e-4,ABHD16B,0.002311833860251608,0
ZFP91.CNTF,0.0029382111420048675,1.4831127469458107e-5,0.0895183764317325,4.177630209745602,-0.09149670345240117,0.0012333612754275851,ABI2,0.0029382111420048675,0
MAP7D2,0.0034522138758158044,2.0331424465490123e-5,0.08820881867067411,4.10518886945201,-0.09760278133201407,0.001046914500899181,ABRA,0.0034522138758158044,0
IMPDH1,0.0034522138758158044,2.1298010450910738e-5,0.09076929568899861,4.094424629372426,-0.10175248519019156,8.980440125229037e-4,ACAA2,0.0034522138758158044,0
PSMC3IP,0.004793942014289243,3.22643321208474e-5,0.08720701554646855,3.9970034799405774,-0.0961413542684454,0.0013499803549562085,ACAD11,0.004793942014289243,0
RPSA,0.006335533567850029,4.619289757826718e-5,0.0870840670937966,3.9110770827812,-0.08995985738136153,0.002038172022061941,ACAP3,0.006335533567850029,0
ATF7,0.009107894166996046,7.151459244977265e-5,0.08547460029539948,3.8040816095479624,-0.09171992188695363,0.0022625792944097503,ACBD4,0.009107894166996046,0
VEZT,0.010124478107080129,8.517508222445425e-5,0.07912491900101302,3.760529514320651,-0.09007977754196393,0.002597930070230748,ACKR1,0.010124478107080129,0
GML,0.010404268328412718,9.336415774234632e-5,0.0882777183631889,3.737477708648254,-0.09582291569226613,0.0021788370660872614,ACMSD,0.010404268328412718,0
ERP44,0.010864356426051682,1.0358612408462065e-4,0.08357049322374721,3.711234672843519,-0.08970369400752115,0.002864560287774872,ACOT1,0.010864356426051682,0
PITPNA,0.0158453390709072,1.5996416336305641e-4,0.08119898530667193,3.599639334997909,-0.08729422690327046,0.0037762887442989086,ACP2,0.0158453390709072,0
EMR1,0.018080461401724816,1.9266896614288922e-4,0.08029029460621788,3.5509216471657306,-0.08570853035915318,0.0043398347608775015,ACSL6,0.018080461401724816,0
SETMAR,0.021274688008907607,2.3863923734052277e-4,0.0773396127170761,3.4941446062629002,-0.08634399929701997,0.004652399296951305,ACSS2,0.021274688008907607,0
TMED3,0.02318701861940378,2.7309444251681403e-4,0.0754877242676597,3.457939953364488,-0.07931676544189248,0.006412727509716276,ACTBL2,0.02318701861940378,0
DENND4C,0.0233579730794248,2.896426310601531e-4,0.07692967675295725,3.442042481709725,-0.08427025878101622,0.005449108918036947,ACTG1P4,0.0233579730794248,0
UBR7,0.0233579730794248,3.035844185258407e-4,0.0793553993701711,3.4292923044417476,-0.08621509225258239,0.005197226464829935,ACTR10,0.0233579730794248,0
VCPIP1,0.0233579730794248,3.1440905995860636e-4,0.07622118289492541,3.41976333786959,-0.08450418916499208,0.005598394701676334,ACTR1B,0.0233579730794248,0
YTHDC2,0.026369183995788636,3.6973056640197195e-4,0.07533940317642794,3.3753751695379837,-0.0775047357858024,0.007764495106508711,ACTR3B,0.026369183995788636,0
RBM24,0.02798479537930902,4.0807890065173e-4,0.0754427491901766,3.348097498690074,-0.08151648324492627,0.006963623346031945,ADARB1,0.02798479537930902,0
CLIP1.AS1,0.035342093985314064,5.35185943692361e-4,0.062057255779071015,3.2721336311308113,-0.06521219406076298,0.0149733365153173,ADCY8,0.035342093985314064,0
MRPS17,0.036657754854334555,5.906496214097835e-4,0.07356544293577212,3.2441269595928297,-0.08049254041946835,0.008474127344868548,ADD2,0.036657754854334555,0
