att,pval.adj,pval.att,beta.raw.att,beta.Z.att,beta.0,pval.0,gene,p_adj_use,beta_use
NPFF,2.5545364790597816e-9,1.43271815987649e-12,0.21980294003066428,6.994563025606673,-0.23683227383404704,1.5967300910136626e-10,AAK1,2.5545364790597816e-9,0
RBBP5,2.708606226748863e-7,3.038257124788405e-10,0.20822246785084494,6.195700647644566,-0.20909443617380083,1.0424248256081386e-8,AANAT,2.708606226748863e-7,0
WDYHV1,2.4472571664938665e-6,4.117650869030622e-9,0.1838444601411046,5.769463229918025,-0.18722530441971624,1.0748197424326215e-7,AATK,2.4472571664938665e-6,0
GPBAR1,3.5276019831777414e-6,7.913857505726846e-9,0.18122191982115624,5.65790579231379,-0.18677987758087136,1.5473242022650296e-7,ABCB11,3.5276019831777414e-6,0
CBL,4.259720726801321e-6,1.1945375005051376e-8,0.17332072614361893,5.586530143820267,-0.18062211866227332,2.479030592818442e-7,ABCF2,4.259720726801321e-6,0
C6orf118,6.751428351164015e-6,2.2719332645532296e-8,0.17146345200431987,5.473343311166818,-0.18680357371055856,2.7892118278848927e-7,ABCF3,6.751428351164015e-6,0
DLEC1,1.0806164479428664e-5,4.2424650227706476e-8,0.1762374598704059,5.36125227118989,-0.18407631528778184,4.406147383288347e-7,ABCG1,1.0806164479428664e-5,0
SMARCC2,2.4210149256773116e-5,1.086265810735754e-7,0.17269948224377463,5.188251428710442,-0.17611477177527973,9.956150000725486e-7,ABHD16B,2.4210149256773116e-5,0
CIAPIN1,2.6132999357188846e-5,1.3191082120846866e-7,0.16235230474086948,5.1518421608877105,-0.1775738005841501,1.0588616934190503e-6,ABI2,2.6132999357188846e-5,0
ARFGAP1,3.610696759630991e-5,2.1433457405500898e-7,0.15275407772882496,5.0597766506556106,-0.1750670039808916,1.520483525101536e-6,ABRA,3.610696759630991e-5,0
SRFBP1,3.610696759630991e-5,2.227575118112221e-7,0.15426717489560143,5.052399208396176,-0.17311923023570228,1.659422552188415e-6,ACAA2,3.610696759630991e-5,0
BRD3,5.483291885668705e-5,3.690381527090547e-7,0.14387524744230476,4.954840750835729,-0.16174509601151363,3.265787941723206e-6,ACAD11,5.483291885668705e-5,0
HNRNPDL,6.514805230906215e-5,4.749998205371889e-7,0.1561315219385566,4.905387269200651,-0.170819399481207,2.78360621293374e-6,ACAP3,6.514805230906215e-5,0
TSPAN15,9.334630106212132e-5,7.329490829330893e-7,0.14424549075927087,4.819309662525786,-0.1687273092419268,3.840605106449765e-6,ACBD4,9.334630106212132e-5,0
