att,pval.adj,pval.att,beta.raw.att,beta.Z.att,beta.0,pval.0,gene,p_adj_use,beta_use
CBL,4.2381757255266496e-11,2.3769914332734994e-14,0.18101409201488247,7.546403228467158,-0.19156854935934833,3.208175253613559e-12,AAK1,4.2381757255266496e-11,0
NPFF,9.788496116483294e-11,1.0979804953991357e-13,0.17669337166280077,7.343578300730624,-0.19835563828776193,4.911463942435024e-12,AANAT,9.788496116483294e-11,0
DNM1P35,4.5401883393682044e-7,9.909093159303722e-10,0.15345202012838463,6.003310844089953,-0.16416592897115437,6.481801233680385e-9,AATK,4.5401883393682044e-7,0
DLEC1,4.5401883393682044e-7,1.0185503846030744e-9,0.15075254657687293,5.9988324925548016,-0.1636614862086763,6.756437026375153e-9,ABCB11,4.5401883393682044e-7,0
TATDN3,1.1714472407562543e-6,3.2850455433433937e-9,0.1386905773321953,5.805202374628074,-0.15699140483854965,1.8708004735677108e-8,ABCF2,1.1714472407562543e-6,0
TSPAN15,1.7458635475248016e-6,5.92266718490748e-9,0.12982182262343042,5.705399102388708,-0.15925214592575346,2.4157519443925196e-8,ABCF3,1.7458635475248016e-6,0
GPBAR1,1.7458635475248016e-6,6.8542034956105504e-09,0.13166266246647787,5.68040913071952,-0.15169421506301867,3.711639030152325e-8,ABCG1,1.7458635475248016e-6,0
METAP1D,1.4242205149241902e-5,6.390221042845497e-8,0.1229027367866858,5.284731866010134,-0.14254032054970842,2.116865277456928e-7,ABHD16B,1.4242205149241902e-5,0
PDPN,1.7573712408551052e-5,8.946782976291952e-8,0.12802377415594027,5.222658158910362,-0.1389888404586665,3.046483762176146e-7,ABI2,1.7573712408551052e-5,0
C4orf32,1.7573712408551052e-5,9.856260464694925e-8,0.122224143926934,5.2046725823436075,-0.14620864958218163,2.391404996412237e-7,ABRA,1.7573712408551052e-5,0
BCL7C,2.034751346658348e-5,1.2553149082020095e-7,0.1186050118890711,5.159484253938962,-0.14397021601378499,3.030418551084156e-7,ACAA2,2.034751346658348e-5,0
ARFGAP1,3.117939135595811e-5,2.0984447351177639e-7,0.11447027024002668,5.062241585657468,-0.13697969748502742,5.513360123985662e-7,ACAD11,3.117939135595811e-5,0
BAZ2A,6.176481605323726e-5,4.652160731940844e-7,0.12066288001568966,4.9080361548105556,-0.13540320964249444,9.6174899366646e-7,ACAP3,6.176481605323726e-5,0
ATXN8OS,6.176481605323726e-5,4.849733172996756e-7,0.11232550397501995,4.899856439756676,-0.13934124595445738,8.525599273746482e-7,ACBD4,6.176481605323726e-5,0
KIF5C,8.117707690671088e-5,6.829254927653748e-7,0.13198463492148568,4.83205252847259,-0.13233662200557608,1.3759552554260161e-6,ACKR1,8.117707690671088e-5,0
SMARCC2,8.633117420685577e-5,7.747048722993227e-7,0.12116250005061692,4.806851397246336,-0.13620648981243652,1.2900842031737598e-6,ACMSD,8.633117420685577e-5,0
IKBIP,1.0316152497782961e-4,9.835927788127332e-7,0.11080189247599713,4.758802159200397,-0.1276318032798397,2.0729853335796487e-6,ACOT1,1.0316152497782961e-4,0
HNRNPDL,1.0639258590779316e-4,1.0740698521257862e-6,0.11398438449323932,4.7409773022025945,-0.13336336110575547,1.7578822217385055e-6,ACP2,1.0639258590779316e-4,0
CIAPIN1,1.4253242632628234e-4,1.5188536736956615e-06,0.11030744808562264,4.670180929029042,-0.13425144596196698,2.1388979951051596e-6,ACSL6,1.4253242632628234e-4,0
EXOC8,1.4930320720140972e-4,1.6747415277780112e-6,0.12049635310186219,4.650039038805752,-0.13252027909197864,2.4130560684354263e-6,ACSS2,1.4930320720140972e-4,0
FAM120C,1.5073712811122174e-4,1.775367184708725e-6,0.10092379352152685,4.637971857756143,-0.1329870213362386,2.471145273151527e-6,ACTBL2,1.5073712811122174e-4,0
ARL6IP6,1.6065546355252246e-4,1.982288389318841e-6,0.10967451397215915,4.61509266179803,-0.1350342560301065,2.493029392031507e-6,ACTG1P4,1.6065546355252246e-4,0
ITM2C,1.7245658722295695e-4,2.2246222692809926e-6,0.10424853365537849,4.5910448354265645,-0.12826276695679156,3.353894319368493e-6,ACTR10,1.7245658722295695e-4,0
BRD3,1.734075754120638e-4,2.3341457150249753e-6,0.09735508118632621,4.5809901485937825,-0.11828794895574372,5.128767144152607e-6,ACTR1B,1.734075754120638e-4,0
MYL12B,1.886005466896648e-4,2.7222039854390366e-6,0.10292334491216193,4.548676414148796,-0.12659246706782715,4.041252263563323e-6,ACTR3B,1.886005466896648e-4,0
HMGN5,1.886005466896648e-4,2.7502042702923636e-6,0.10429956388982228,4.546518825921372,-0.12695061267423427,4.0185048666277685e-6,ADARB1,1.886005466896648e-4,0
RBBP5,1.8925961256445237e-4,2.86596160361201e-6,0.11371230944547406,4.537816665043348,-0.13003916402556326,3.726453391274958e-6,ADCY8,1.8925961256445237e-4,0
HNRNPUL2,2.382056290806453e-4,3.740750204295047e-6,0.11270257584289337,4.481218027559145,-0.12953866064216935,4.5164465236779634e-6,ADD2,2.382056290806453e-4,0
TBC1D15,2.513991642645151e-4,4.088937612827222e-6,0.10140480100960356,4.462161754901368,-0.12232658479637366,6.097960575038605e-6,ADD3.AS1,2.513991642645151e-4,0
WDYHV1,3.9475041920865415e-4,6.641902734862381e-6,0.1029406050524658,4.356952378135158,-0.12133573835672799,8.579121832351852e-6,ADIPOR2,3.9475041920865415e-4,0
C6orf118,4.432044674266708e-4,7.705742282796857e-6,0.10162254363482869,4.32426479076734,-0.12580350185940203,8.208789981346899e-6,ADIRF,4.432044674266708e-4,0
SETD4,5.476824517857581e-4,9.829410239564923e-6,0.098057135321471,4.270217148280274,-0.12309365854062362,1.0478867143920327e-5,ADNP2,5.476824517857581e-4,0
PTPN12,5.518433678128311e-4,1.0213590094124188e-5,0.11204927793966171,4.2616472107496515,-0.11949981906134266,1.2014043032300539e-5,ADPGK.AS1,5.518433678128311e-4,0
IQSEC2,5.747780559257152e-4,1.1023877722403748e-5,0.1016975149562929,4.2445356230370335,-0.12774281584740763,9.987486183052387e-6,ADRBK2,5.747780559257152e-4,0
UBE3D,5.747780559257152e-4,1.1282799751766703e-5,0.10759819617641785,4.239319666206052,-0.12199594628421029,1.1876673854803794e-5,ADSS,5.747780559257152e-4,0
STIM2,5.852152611908687e-4,1.2142113053621405e-5,0.09580612012484267,4.22279010214287,-0.11959047884635703,1.341101317978579e-5,ADSSL1,5.852152611908687e-4,0
RBM5.AS1,5.852152611908687e-4,1.2144119273170018e-5,0.1033261552083596,4.222752830017288,-0.1171141999136278,1.4506005532695903e-5,AFM,5.852152611908687e-4,0
RPL17,5.880261104156671e-4,1.2532244641500478e-5,0.09711236840710445,4.21565008818866,-0.11757846101016249,1.4574675505553791e-5,AGA,5.880261104156671e-4,0
STK38L,6.660329376749768e-4,1.456830317965457e-5,0.09939892236569377,4.181510231581043,-0.12417469388822928,1.330733548366256e-5,AGPAT4,6.660329376749768e-4,0
MRFAP1L1,6.834187417261025e-4,1.5331884278768424e-5,0.09520858336249399,4.1698673842498915,-0.12320229414815889,1.4142478560271437e-5,AGPAT9,6.834187417261025e-4,0
