att,pval.adj,pval.att,beta.raw.att,beta.Z.att,beta.0,pval.0,gene,p_adj_use,beta_use
CLIP1.AS1,9.640349346822718e-7,5.406813991487784e-10,0.08652293718430694,6.0983758238334085,-0.06404745672304121,5.759262288141875e-5,AAK1,9.640349346822718e-7,0
ARFGAP1,2.371275701371606e-6,2.6598717906579988e-9,0.08103572232146171,5.838134946218093,-0.0647209406088749,8.306686982696314e-5,AANAT,2.371275701371606e-6,0
DNM1P35,4.689340021358577e-6,7.890084163811403e-9,0.0744272544448219,5.654028792165819,-0.06448957348241141,1.1835748970716275e-4,AATK,4.689340021358577e-6,0
NPFF,5.142926570070902e-6,1.1537692810030066e-8,0.07614006186470848,5.588335852542964,-0.06364343686366064,1.4598830929750793e-4,ABCB11,5.142926570070902e-6,0
MAN2B1,5.917372760021497e-6,1.6593866404995784e-8,0.0702925344787942,5.524823959996547,-0.06043378854943668,2.3233834986222798e-4,ABCF2,5.917372760021497e-6,0
PSMD12,1.2511586362773895e-5,4.210292662739392e-8,0.07077576883854406,5.35887663250781,-0.057170124729511856,4.363199243925594e-4,ABCF3,1.2511586362773895e-5,0
EIF2D,4.397029263384414e-5,1.7262593855126695e-7,0.06959097670293139,5.097768966502597,-0.051187918301286224,0.0012398868481648636,ABCG1,4.397029263384414e-5,0
CBL,5.1738853908821255e-5,2.3214292275410546e-7,0.06126105887524708,5.041349407172513,-0.05036512345334979,0.0014643253681884357,ABHD16B,5.1738853908821255e-5,0
ATF7,7.005844410691556e-5,3.536320790590241e-7,0.06715128248132969,4.960156045523565,-0.05511503971990658,9.958925991787686e-4,ABI2,7.005844410691556e-5,0
WDYHV1,1.2183486764421498e-4,6.833138959294165e-7,0.06676520781378349,4.830549306294424,-0.05122659169104388,0.001774607031979585,ABRA,1.2183486764421498e-4,0
CSPG4,1.910713805061934e-4,1.1787914669479122e-6,0.06496085425612935,4.720765032698162,-0.04840300571825686,0.002733680220468567,ACAA2,1.910713805061934e-4,0
RBBP5,2.558320670966919e-4,1.721808640022604e-6,0.06350351998721031,4.643072121764278,-0.04724639923691027,0.0033932764561709593,ACAD11,2.558320670966919e-4,0
IRF2BPL,4.133647367710001e-4,3.0138763757840726e-6,0.057334940630169404,4.5260243912719815,-0.05125523923662975,0.002712822215059616,ACAP3,4.133647367710001e-4,0
RPSA,5.969435892727428e-4,4.687162226482556e-6,0.06047857263752672,4.431698431567169,-0.046384147810072704,0.0048027274121863524,ACBD4,5.969435892727428e-4,0
ATP6V1G2,6.750683442530705e-4,5.967128345670202e-6,0.06229378114969635,4.37934056840738,-0.04590701913615706,0.00535810941281219,ACKR1,6.750683442530705e-4,0
ANKK1,6.750683442530705e-4,6.0578202512894715e-6,0.05927963660810058,4.376050406489446,-0.04596634049200625,0.00534990529840363,ACMSD,6.750683442530705e-4,0
