replicate,real,arf,combined_arf
1,0.6242038216560509,0.56,0.642512077294686
2,0.6305732484076434,0.52,0.6328502415458936
3,0.6369426751592357,0.5800000000000001,0.6473429951690821
4,0.6242038216560509,0.52,0.6183574879227054
5,0.6369426751592357,0.52,0.6280193236714976
6,0.6305732484076434,0.54,0.6376811594202898
7,0.6305732484076434,0.5,0.6376811594202898
8,0.6050955414012739,0.52,0.6280193236714976
9,0.6369426751592357,0.54,0.6231884057971014
10,0.6369426751592357,0.56,0.6231884057971014
11,0.6305732484076434,0.52,0.642512077294686
12,0.6178343949044586,0.52,0.6328502415458936
13,0.6433121019108281,0.52,0.6473429951690821
14,0.6050955414012739,0.54,0.6231884057971014
15,0.6305732484076434,0.52,0.5990338164251208
16,0.6178343949044586,0.56,0.642512077294686
17,0.6114649681528662,0.56,0.642512077294686
18,0.6242038216560509,0.54,0.6280193236714976
19,0.5987261146496815,0.56,0.6376811594202898
20,0.6242038216560509,0.54,0.6328502415458936
21,0.6114649681528662,0.54,0.6231884057971014
22,0.6178343949044586,0.5,0.6280193236714976
23,0.6305732484076434,0.56,0.6183574879227054
24,0.6178343949044586,0.48,0.6280193236714976
25,0.6305732484076434,0.56,0.6376811594202898
26,0.6242038216560509,0.52,0.6280193236714976
27,0.6305732484076434,0.56,0.642512077294686
28,0.6369426751592357,0.54,0.6328502415458936
29,0.6305732484076434,0.56,0.6135265700483092
30,0.5796178343949044,0.5,0.6328502415458936
31,0.6178343949044586,0.52,0.6183574879227054
32,0.6369426751592357,0.52,0.6328502415458936
33,0.6242038216560509,0.56,0.6376811594202898
34,0.6369426751592357,0.52,0.6328502415458936
35,0.6178343949044586,0.5,0.6280193236714976
36,0.6305732484076434,0.52,0.6280193236714976
37,0.6242038216560509,0.54,0.6376811594202898
38,0.6242038216560509,0.52,0.6280193236714976
39,0.6433121019108281,0.56,0.6280193236714976
40,0.6242038216560509,0.54,0.6280193236714976
41,0.6178343949044586,0.5,0.6280193236714976
42,0.6242038216560509,0.52,0.6231884057971014
43,0.6242038216560509,0.54,0.6376811594202898
44,0.6114649681528662,0.54,0.642512077294686
45,0.6242038216560509,0.54,0.6328502415458936
46,0.6178343949044586,0.56,0.6376811594202898
47,0.6369426751592357,0.54,0.6135265700483092
48,0.6050955414012739,0.52,0.642512077294686
49,0.6242038216560509,0.5,0.6135265700483092
50,0.6050955414012739,0.5,0.6280193236714976
51,0.6178343949044586,0.56,0.6183574879227054
52,0.6305732484076434,0.5,0.6376811594202898
53,0.6242038216560509,0.52,0.6328502415458936
54,0.6433121019108281,0.56,0.6376811594202898
55,0.6433121019108281,0.52,0.6376811594202898
56,0.6369426751592357,0.56,0.642512077294686
57,0.6114649681528662,0.56,0.6376811594202898
58,0.6242038216560509,0.52,0.6183574879227054
59,0.6178343949044586,0.52,0.642512077294686
60,0.6050955414012739,0.52,0.6280193236714976
61,0.6178343949044586,0.54,0.6280193236714976
62,0.6178343949044586,0.52,0.6521739130434783
63,0.6242038216560509,0.56,0.6231884057971014
64,0.6433121019108281,0.56,0.6570048309178744
65,0.6242038216560509,0.56,0.6328502415458936
66,0.5987261146496815,0.48,0.6280193236714976
67,0.6178343949044586,0.5,0.6280193236714976
68,0.6242038216560509,0.5,0.6280193236714976
69,0.6114649681528662,0.54,0.6280193236714976
70,0.6178343949044586,0.54,0.6231884057971014
71,0.6242038216560509,0.54,0.6473429951690821
72,0.6114649681528662,0.52,0.6280193236714976
73,0.6242038216560509,0.5800000000000001,0.6328502415458936
74,0.6178343949044586,0.56,0.642512077294686
75,0.6369426751592357,0.56,0.6280193236714976
76,0.6114649681528662,0.54,0.6280193236714976
77,0.5987261146496815,0.52,0.6328502415458936
78,0.6178343949044586,0.52,0.6328502415458936
79,0.6114649681528662,0.54,0.6183574879227054
80,0.6178343949044586,0.52,0.6280193236714976
81,0.5923566878980892,0.52,0.6183574879227054
82,0.6369426751592357,0.5,0.642512077294686
83,0.6242038216560509,0.56,0.6376811594202898
84,0.6178343949044586,0.52,0.6231884057971014
85,0.6178343949044586,0.5,0.6280193236714976
86,0.6369426751592357,0.54,0.6376811594202898
87,0.6305732484076434,0.54,0.6086956521739131
88,0.6242038216560509,0.54,0.6328502415458936
89,0.6433121019108281,0.56,0.6473429951690821
90,0.6050955414012739,0.52,0.6328502415458936
91,0.6114649681528662,0.52,0.6521739130434783
92,0.6305732484076434,0.52,0.6328502415458936
93,0.6369426751592357,0.54,0.6376811594202898
94,0.6050955414012739,0.52,0.6376811594202898
95,0.6050955414012739,0.52,0.6038647342995169
96,0.5987261146496815,0.54,0.6280193236714976
97,0.6369426751592357,0.54,0.6328502415458936
98,0.6178343949044586,0.54,0.6376811594202898
99,0.6178343949044586,0.56,0.642512077294686
100,0.6178343949044586,0.54,0.6328502415458936
