replicate,real,ctgan,combined_ctgan
1,0.6242038216560509,0.515,0.5350140056022409
2,0.6305732484076434,0.48,0.5490196078431373
3,0.6433121019108281,0.51,0.5630252100840336
4,0.6114649681528662,0.54,0.5182072829131652
5,0.6305732484076434,0.5349999999999999,0.5378151260504201
6,0.6242038216560509,0.52,0.5658263305322129
7,0.6114649681528662,0.54,0.5574229691876751
8,0.6242038216560509,0.51,0.5574229691876751
9,0.6114649681528662,0.525,0.5434173669467788
10,0.6178343949044586,0.5,0.5322128851540616
11,0.6242038216560509,0.515,0.546218487394958
12,0.6242038216560509,0.49,0.5574229691876751
13,0.6114649681528662,0.48,0.5434173669467788
14,0.6242038216560509,0.485,0.5518207282913166
15,0.6242038216560509,0.5349999999999999,0.5378151260504201
16,0.6369426751592357,0.505,0.5546218487394958
17,0.6242038216560509,0.54,0.5322128851540616
18,0.6050955414012739,0.49,0.5602240896358543
19,0.6305732484076434,0.475,0.5406162464985995
20,0.6242038216560509,0.54,0.5546218487394958
21,0.6178343949044586,0.505,0.5378151260504201
22,0.6242038216560509,0.54,0.5294117647058824
23,0.6178343949044586,0.505,0.5378151260504201
24,0.6369426751592357,0.54,0.5602240896358543
25,0.6242038216560509,0.525,0.5518207282913166
26,0.6242038216560509,0.515,0.5350140056022409
27,0.6242038216560509,0.49,0.5546218487394958
28,0.6242038216560509,0.475,0.5574229691876751
29,0.6178343949044586,0.5349999999999999,0.5322128851540616
30,0.5923566878980892,0.5,0.5490196078431373
31,0.5987261146496815,0.525,0.5574229691876751
32,0.6178343949044586,0.53,0.5518207282913166
33,0.6242038216560509,0.51,0.5406162464985995
34,0.6369426751592357,0.53,0.5518207282913166
35,0.6305732484076434,0.53,0.5434173669467788
36,0.6242038216560509,0.515,0.5434173669467788
37,0.6178343949044586,0.505,0.5322128851540616
38,0.6305732484076434,0.53,0.5434173669467788
39,0.6114649681528662,0.5,0.5658263305322129
40,0.5987261146496815,0.56,0.5574229691876751
41,0.6305732484076434,0.52,0.5434173669467788
42,0.6433121019108281,0.52,0.5322128851540616
43,0.6433121019108281,0.5,0.5350140056022409
44,0.6050955414012739,0.52,0.5406162464985995
45,0.6433121019108281,0.49,0.546218487394958
46,0.6050955414012739,0.51,0.5406162464985995
47,0.6050955414012739,0.505,0.5434173669467788
48,0.6242038216560509,0.5349999999999999,0.5378151260504201
49,0.6178343949044586,0.51,0.5154061624649859
50,0.6178343949044586,0.49,0.5490196078431373
51,0.6496815286624205,0.525,0.5546218487394958
52,0.6305732484076434,0.525,0.5518207282913166
53,0.6433121019108281,0.525,0.5434173669467788
54,0.6305732484076434,0.505,0.5546218487394958
55,0.6369426751592357,0.505,0.5546218487394958
56,0.6305732484076434,0.51,0.5378151260504201
57,0.6178343949044586,0.52,0.5322128851540616
58,0.6178343949044586,0.51,0.5350140056022409
59,0.6369426751592357,0.515,0.5238095238095238
60,0.6114649681528662,0.51,0.5574229691876751
61,0.6496815286624205,0.485,0.5406162464985995
62,0.6178343949044586,0.505,0.5630252100840336
63,0.6178343949044586,0.505,0.5406162464985995
64,0.6178343949044586,0.51,0.5490196078431373
65,0.6178343949044586,0.5449999999999999,0.5546218487394958
66,0.6369426751592357,0.52,0.5574229691876751
67,0.6114649681528662,0.515,0.5378151260504201
68,0.6305732484076434,0.5449999999999999,0.5434173669467788
69,0.6114649681528662,0.53,0.5434173669467788
70,0.6114649681528662,0.505,0.5294117647058824
71,0.6114649681528662,0.52,0.5686274509803921
72,0.6178343949044586,0.49,0.5574229691876751
73,0.6305732484076434,0.53,0.5518207282913166
74,0.6050955414012739,0.52,0.5406162464985995
75,0.6242038216560509,0.47,0.546218487394958
76,0.6114649681528662,0.52,0.5490196078431373
77,0.6178343949044586,0.525,0.5350140056022409
78,0.5987261146496815,0.515,0.5602240896358543
79,0.5987261146496815,0.525,0.546218487394958
80,0.5987261146496815,0.5349999999999999,0.5378151260504201
81,0.6178343949044586,0.505,0.5378151260504201
82,0.5987261146496815,0.51,0.5406162464985995
83,0.6114649681528662,0.495,0.5434173669467788
84,0.6114649681528662,0.52,0.546218487394958
85,0.6433121019108281,0.525,0.5714285714285714
86,0.6178343949044586,0.51,0.5574229691876751
87,0.6114649681528662,0.5449999999999999,0.5518207282913166
88,0.6178343949044586,0.54,0.5098039215686274
89,0.6496815286624205,0.51,0.5574229691876751
90,0.6178343949044586,0.525,0.5434173669467788
91,0.6178343949044586,0.53,0.5378151260504201
92,0.6178343949044586,0.51,0.5154061624649859
93,0.6114649681528662,0.515,0.5350140056022409
94,0.6178343949044586,0.525,0.5378151260504201
95,0.6178343949044586,0.505,0.5518207282913166
96,0.6433121019108281,0.53,0.5322128851540616
97,0.6178343949044586,0.5,0.5490196078431373
98,0.6114649681528662,0.485,0.5490196078431373
99,0.6114649681528662,0.5349999999999999,0.5546218487394958
100,0.5987261146496815,0.525,0.5434173669467788
