gene,rf_importance
NOS1,8.438151408630466
SETMAR,4.930163248559141
THAP1,4.786195454279521
EIF2B2,4.522447973654374
ZC3H12A,4.33271427273911
KDM2B,4.318582328583947
AGA,4.265630752883066
YLPM1,4.084324461842839
NAP1L2,4.081733730397997
ZNF76,4.0276099434136
LCT,3.984121830078853
KIF5C,3.742643494490879
UPF2,3.6640824761482156
NDST3,3.6543201152606057
EIF4A3,3.608759306327266
UBE3C,3.543675826624101
YARS2,3.3836506027805715
TNIP2,3.3173743963479487
FGFR2,3.3157352279076138
STAU2,3.2251214475371675
PPP1CB,3.1979928655935113
WHSC1L1,3.1773203888773147
LRRC48,3.1447937609155434
ATXN1L,3.0972135690590594
EPS15L1,3.0676224593266235
LARGE,3.0615605165592488
THOC3,3.0444506572209464
NOM1,3.0273338426612217
CYTH2,3.0242807949685058
PAPD5,2.993146531845384
POLR2F,2.9738219852233243
RPN2,2.969976102843059
HSPA4L,2.9393604799257442
TM9SF1,2.7950664647202617
TMCO2,2.7784581616196604
RNF222,2.7656668527178043
NNT.AS1,2.752849868836442
FAM169A,2.7257947105863223
EIF3L,2.6466744811606917
ARF1,2.6461974523351
AGPAT4,2.6001087834877126
DCTN3,2.5549987605049096
GM140,2.554062239471165
RANBP17,2.5506963383596633
ADIRF,2.4819127581388334
PDS5B,2.474291112456541
DDX19A,2.4517345265113115
DCAF12,2.444482996142388
ZNF318,2.439445948186791
PIGU,2.432436601796362
BCL7C,2.4144632755065265
DLGAP5,2.376996529974282
TIAM1,2.373582758802317
CD79A,2.37325989714891
PRRC2C,2.367153863678605
EIF5A2,2.3618369184463504
CGN,2.3574968595043053
SREK1,2.34820543501853
SP110,2.3348512993966404
POLDIP3,2.323588660563371
USP2,2.2867084128084403
GNA14,2.2637180097444896
SRXN1,2.2413263483318593
FLRT1,2.226289662073334
MED30,2.2173762385024505
CUL2,2.214165452450489
CAP2,2.2070501238615425
FAM120C,2.2000319011539573
POLR3D,2.18817018142208
PAN3.AS1,2.178333851518767
PPP1R1A,2.172102516248385
GAL,2.1425513997453027
DHX16,2.1404554731777963
CDC42BPA,2.1152856337383157
MARK4,2.1023971311282987
TMSB15A,2.0981846826186055
PSMD3,2.083635171832615
ELN,2.0760898515429544
MB,2.0622762198494633
RPS6KA2,2.054634901897239
FAM208B,2.05448645941401
KHSRP,2.0476279780160587
ACOT1,2.0283096068491155
KDM5B,2.025053593700407
MFRP,2.0198497997217313
AKNAD1,2.007860070512994
MBD2,1.996690578404166
DPF3,1.9950438319789148
ZSWIM8.AS1,1.9881931476940784
SMARCA5,1.9864406625680482
AP2M1,1.97650455385352
SLC3A1,1.9483466644860694
HDX,1.9440847625646318
LRRC42,1.9368366281018152
MORC1,1.931645402660002
KLF3.AS1,1.9262560217719533
TCP10,1.9245839555684114
MYL12B,1.923360859852343
FAM35A,1.9094542427352388
GTPBP3,1.9019089676414214
C17orf89,1.8940762245707554
RANGAP1,1.889333432186944
USP24,1.8818695679282371
ZYG11A,1.8745778138715425
PSPH,1.8734439232685205
SNX30,1.8647447980758713
TBC1D21,1.841551249793744
MAATS1,1.8264737924234031
SSR3,1.8235787668336312
TUBGCP3,1.822781708260196
DRG2,1.8202122695581748
VAMP3,1.8186487169594634
EEF2K,1.8093111109188138
GOLGA7B,1.7940128935459674
DDX28,1.7871835343022073
FUCA1,1.7852835583279834
APBB2,1.77648595255883
CD46,1.7748443092855222
CCT6B,1.768188845566206
PABPC4L,1.759431394973204
SEC24D,1.757566345471804
ARFGAP3,1.7438691074393884
UBAC2.AS1,1.7274197054451774
ZC3H18,1.7266245432805722
CBX2,1.726028160742889
MAN2A2,1.7199082981117322
PDPN,1.7196089857380434
CBL,1.7157042028664906
DDX60,1.7123996776412536
PPM1D,1.7027553169489182
MAX,1.7024764370786658
GORAB,1.6926454445803643
FBRSL1,1.6910432184737658
NUDT22,1.685285285363611
CLIC2,1.682402573824446
HSPA9,1.6764381426964703
TBL1Y,1.6653697051403988
MTCH2,1.664926031077918
TRAF3IP1,1.6581176789706216
MBD3,1.6577824877272134
ATF5,1.6535227690480467
OTUB2,1.651338469258529
ARPC4,1.6495681339187147
SCAF8,1.6415235665171277
TOMM20L,1.6394026808980666
YY1AP1,1.6312505092134193
CD5,1.6293948655967165
ERBB3,1.6264152592018357
PSMA8,1.623706229040023
ANXA8,1.623677273700918
ATN1,1.6212418669775277
IDUA,1.6180426774182874
FUBP3,1.615568971572702
RTKN,1.6146129401847895
ADD2,1.6095617796970672
EOGT,1.6038168611210089
MCHR1,1.5921137081253094
PCNA,1.5811934528353968
ATF3,1.574417501533781
ZNF414,1.5743214550561135
PAIP2B,1.5710208602072306
CAPRIN2,1.5665088383831616
TRIM34,1.5630917609287809
IMP3,1.5588601287617898
SHC2,1.5585481472817475
NBR2,1.5564079683848415
FTX,1.551113527020786
TMEM44,1.542024444028865
TMED5,1.537260661826131
IL6ST,1.5364974896919406
DLG1.AS1,1.52020581887207
GUCY1A2,1.511870703069401
ZC3H8,1.510316483493046
POLG2,1.504544692100004
NUP210,1.5029693070727244
