gene,rf_importance
VEZT,6.198218049203549
UBXN6,5.89659345283294
RPL31,5.72960974856312
RPSA,4.77380972828403
DCTN1,4.661774505185663
NDC1,4.599839360794519
ERP44,4.26306547005066
MAVS,4.240687035505534
NUP98,4.002039000671711
FAM135A,3.9406920315472953
MKL2,3.7416228388023804
RNF222,3.6413405656208684
ANKK1,3.5114849330906455
TCERG1L,3.4893331842249715
MAN2B1,3.4872957295969305
UBR7,3.470508699201617
EEF1A2,3.3879362757902287
FOXJ3,3.3828879412779793
UNC45B,3.3824177946227145
NDUFAB1,3.2764582895600767
PIGU,3.2646203361324093
ARID4B,3.234300018275311
C11orf63,3.1687230710655947
NNT.AS1,3.1614354101610846
NELFCD,3.1610957133339976
GHR,3.1112821975303486
CHGA,3.109046325010446
RING1,3.064580088825878
CLOCK,2.945970040042789
TUBGCP4,2.9131677982088156
ABCF3,2.9036813068234206
MAP7D2,2.8862754692762174
TSPAN15,2.8558518251487914
PHF13,2.815765019292396
ST13P4,2.792143103273223
KIAA0101,2.789377501530651
MESP1,2.713559941713707
PDCD1LG2,2.7105167986258865
RPL23A,2.6933316628768718
PSMD12,2.691920035718971
CDC42SE2,2.6477811244572784
ANKMY1,2.617141858654709
PREPL,2.6004323743645177
CLIP1,2.5555714483887817
GAR1,2.544600389285045
PLEKHD1,2.533270958512503
GNB2L1,2.5074930829912434
ANKRD12,2.442358405992443
HECTD2,2.4420261865222828
CRKL,2.383983239780159
TNIP2,2.3432391082172264
DCTN1.AS1,2.3397746171346645
PCNT,2.328093106344288
PPRC1,2.3093198321167803
RPL10L,2.2881538931156125
AP2S1,2.286282580414024
HEXA.AS1,2.272836622510276
MAP3K7CL,2.255215940821539
ICAM4,2.243845916994324
MIAT,2.2416569670507402
CORO1B,2.2159614654049617
AKT1S1,2.173158684546057
CHTOP,2.1660098792059124
RFX6,2.1557898410584895
RALGAPA1,2.148785259462779
PITPNA,2.1422409140942653
NAP1L2,2.068817248617494
PFKM,2.0614424496267545
TMC1,2.0442401616014756
ATP6V1G2,2.0424898807350678
CUL5,2.031135695164167
LRPPRC,2.0212066923791583
DDB2,2.003788151118438
TSNARE1,2.003127423243318
PHF21B,1.997917774804737
UBN2,1.9919277017619643
SERINC4,1.9797184441804125
ABI2,1.9700297598909777
CBX3P2,1.9591741448731188
UBXN10,1.9522558549796527
RBM17,1.9502236219502682
TFIP11,1.9400595620044783
MDK,1.9303537137683418
TMIE,1.9241919662745608
HNRNPR,1.9134615047849195
ZFR2,1.9126918994241564
PPP1R9A,1.877712652085296
ANP32C,1.8762360433311487
PSMC3IP,1.8682340300720985
NUP35,1.842871570495562
KY,1.815839489200464
USP40,1.7861735992824996
GOT1,1.7853976899161608
PSMD4,1.7783443508262795
PPP2R5E,1.7742692358290995
MRPS28,1.7713137499345273
PWWP2B,1.7691521634133975
GGACT,1.7614606408260816
SSR3,1.745319809953678
FAM65C,1.7450493683554407
PGK2,1.7382707434167706
GLG1,1.724482150388015
EIF4G2,1.719122436292004
C14orf164,1.7087420429238214
PURA,1.7020927280371139
CNTROB,1.699772209755175
PRPF3,1.6819404533478304
PEX2,1.669518610910924
UFL1,1.667029955663636
MAN2A2,1.6662599280453265
MAP3K3,1.662371900797571
MRPL30,1.6559951485480335
CIRBP.AS1,1.6448600054775366
SMCO2,1.6446501959953932
EIF5,1.6435585848304397
RPL41,1.6423302521266123
BARD1,1.6397098202807021
PTPN11,1.632879866898136
OPA1.AS1,1.6254274829876705
ARHGEF25,1.6153998898084825
PPM1H,1.610971607793285
ATP6V1E2,1.6065635409978853
HDX,1.6062695003631802
SMUG1,1.5988246914506052
AP1B1P1,1.597964802730684
TUBGCP3,1.597275828765133
AMDHD1,1.5903662479615803
PCNA,1.5841211804971005
CALCOCO2,1.5672393701019178
MARCH7,1.5648527257160267
TRIM39,1.5436980223489745
CHD9,1.5292400016351269
TLN2,1.5224732817190634
DCAF8L1,1.5093005151777552
DCAF12,1.5064471357094897
GIMAP1,1.5048605502928716
MAPKAP1,1.5026698814092054
BUD13,1.4971647982235894
FBXO8,1.4873794651521843
MAPKAPK3,1.4772599581686559
PHF20,1.4706035972932927
ATF7,1.4664004356443783
IPO9,1.4613921820864477
SEC63,1.4549401638706665
ARHGAP31,1.448378791327301
TRAPPC12,1.4444841894666707
PCBP2.OT1,1.4429557387925025
RPS25,1.4358658200780476
RTN4IP1,1.4355632735747306
EIF3L,1.426958077934084
SERF2.C15ORF63,1.424727738264526
NEK8,1.416236041432385
FAM208B,1.41437204294417
ALDOB,1.4036570881690438
RBMX2,1.3997076957802579
MAP2K2,1.398537197531107
SEPHS1,1.3977738323025122
LIME1,1.3924034795824887
NPFF,1.3914034097329073
FLRT1,1.3847206809337604
BNIP3,1.383370275683039
KHSRP,1.3692052604166765
AURKA,1.3678968178907565
ATP5G3,1.3666316014998001
GSK3B,1.362943296256711
ATP2C2,1.3548314816935076
NELFA,1.353323542666062
ANKRD44.IT1,1.351239715576285
FBXO15,1.3511338230643608
TAOK1,1.3510210567449208
GPN2,1.3456338058941257
IDUA,1.3451311223948654
BIN3,1.3430943388966483
EIF4EBP3,1.3407645914979538
NENF,1.339069183733646
PIK3CG,1.3340625488578495
DDX28,1.321491789737676
ESYT2,1.3186456719113822
GPATCH3,1.3153283345258722
UBAP1L,1.3118353862468193
EIF2AK2,1.2859593793805537
PBX1,1.277612615348966
USP24,1.2748086712244486
COBL,1.2710117542074242
ITM2C,1.2679302657212788
WWTR1,1.2635629433148348
GORAB,1.2616050882264358
CDK14,1.2568316207873702
BCDIN3D,1.2559995530041852
KDM1B,1.253294516842723
LARGE,1.250764286958513
APBB2,1.248558357087052
TCP10,1.2482974659390143
WDR52,1.2366890628213576
GTF3C2,1.2315902763826956
MTCH2,1.2263125386872995
LINC00658,1.2244577078619245
MYL12B,1.2193745589063727
UBE2I,1.213391324245869
C17orf89,1.212590709275999
POLR2F,1.2081809350037378
MIEF2,1.2077752175473273
RBM24,1.2037519364793423
EPC2,1.1848881945749743
CAP2,1.1654619643195565
GNAI3,1.1650394372814679
FAXC,1.1647524540041416
TAF4B,1.1608091492079837
PITRM1.AS1,1.157779212722011
VCPIP1,1.1523250819970465
TXNDC11,1.1484682186230082
SLC39A8,1.1482675067261305
ANAPC7,1.1465146393985066
PCGF6,1.139159088412338
ARPP21,1.1289405230669347
SSBP2,1.122391383704634
SF3B1,1.121270624813401
IKZF2,1.1187835371151609
PRKCD,1.1167535704795835
IRF2BPL,1.1162923989175804
NUP210,1.1162414776923841
TIPARP,1.1091163961716621
ELOVL6,1.1072253617187309
NOP10,1.1048081101493203
ARRDC1,1.100578513321018
SPOPL,1.0998900525547042
CDC6,1.0966142198150284
KAT2A,1.0943998173265554
USP4,1.0892936232284622
PPP2R5A,1.082395667580579
GTF3C1,1.0715094490496833
ATP6V0E2,1.068824209501662
RNPS1,1.0677292302629213
RNF115,1.065670376282652
UBL7.AS1,1.065252635164183
CRCT1,1.060085530974903
NELFE,1.055588416032201
DDX60,1.052413682724088
CIDEA,1.0468881017511211
MKRN2OS,1.0395403532135508
CAPNS2,1.0370793120910307
HNRNPU.AS1,1.032399398562528
TIAM1,1.028555929391956
SLC35A5,1.0197838871200529
PSMC5,1.0123204958985594
PRRC2C,1.0107470092335284
RBBP5,1.0069317878396544
HDAC10,1.005389058179868
POLE4,1.0004774503554503
N4BP2L2.IT2,0.9967107814329775
PSPH,0.995975726476431
DCAF11,0.9901393345785331
HNRNPDL,0.986750741955319
TRPV3,0.979889417019595
PAPD5,0.9741725303007766
SRCIN1,0.9660520494557913
CCT5,0.9653704307423663
CLSTN2,0.964636459614221
DIABLO,0.9645942569914958
RIPK2,0.9641273808918214
NRBP2,0.9621947037262227
DNAJA3,0.9615478767537888
ISX,0.9552255737777964
SIL1,0.9551332720547181
PPP2CA,0.9528921430393237
CASC4,0.9524314016497818
PLS1,0.9524090710467811
ADARB1,0.9522233118488982
FIRRE,0.949124995710318
RAB5C,0.9447114620446495
SCAF8,0.9407497673382019
TPT1.AS1,0.9340646418114534
GOSR1,0.9314238497769112
VDR,0.9264485974404444
COPS7A,0.9163505826540254
BTF3P11,0.9157149339499155
ASCC3,0.9152760685496304
AP2M1,0.9092277478235548
EDDM3A,0.9088571797484669
CLPX,0.904973857044836
SFR1,0.9022912669110789
ADNP2,0.9015879059142419
IQSEC2,0.9007128288303465
ADD2,0.8947778952631412
LRRC42,0.8944827522704776
WDR86,0.8939254350731168
CMTM4,0.8892166621094869
WAC.AS1,0.8882520096247086
DNAJC5B,0.8872732975687764
PUM2,0.8725419086218988
INTS4,0.8688434056650733
NUGGC,0.8682772407830871
STK25,0.8643458543193354
STX6,0.8544592365027595
TMEM87B,0.8525109370702036
CIAPIN1,0.8522999825014512
AMZ2P1,0.8493275237898802
SENP7,0.8489186099395116
UBQLN2,0.843998035624357
WDR34,0.8437355495671532
ADPGK.AS1,0.8435497488733024
EXOSC2,0.8408875111538513
HSP90AB1,0.8406703150363369
TMEM44,0.8403668238898663
RPS6KA1,0.8392848944198759
LETM2,0.839207694679278
CAND1,0.8380860468637027
ODF2L,0.8341999629580681
PRRG1,0.8312174049384008
AIFM2,0.828858914168408
OTUD5,0.8245750616295796
TBC1D3,0.818135024673396
ACTR10,0.8162270827851869
VTN,0.8142719472422237
RPS3A,0.8141706193133437
CAP1,0.811896415435309
ADD3.AS1,0.8114413758422666
PTDSS2,0.8110259176582583
DLEC1,0.8044021646259297
MSL3,0.7995177569611489
AKAP11,0.7982643738670653
CLIC2,0.7956941191769404
ARPC5L,0.7949102096917374
UBQLN1,0.7934682888384595
PBX3,0.7864704368968399
BRDT,0.7863251235208102
PCBP1.AS1,0.7845380070290913
FAM35A,0.7842748121258636
DDX23,0.7842737212263898
NUMB,0.7822116611902762
TACC2,0.7815191907737483
CLK4,0.780719098359996
REV3L,0.7785908273843573
TRAM1L1,0.77678152083636
MYO1G,0.7760721667142639
TBCA,0.7749101192344953
VPS4B,0.7729802509817273
CMTR2,0.7714351289959235
TRPM8,0.7704404837304832
SCP2D1,0.7668858858467739
RPP14,0.7584915928741446
ATXN2,0.7584102189993197
PROSER2,0.7580395617425191
PDHA2,0.7579895471792006
DIAPH1,0.7549144962553088
DDX25,0.7518137273506861
CNOT3,0.7491040844838837
KHDRBS2,0.747102756003543
RABEP2,0.7430804444274035
KIAA1024,0.7388754773614881
SP110,0.7364120507747353
AP3M2,0.7361176203048724
STK17A,0.7341938621419652
PIGT,0.7333796103971361
MRFAP1L1,0.7330759930866316
RPA2,0.7291177032883037
COG3,0.7289367694013755
DXO,0.7230711617655905
IPO9.AS1,0.7173777038024388
KIAA0391,0.7128387019083099
POLDIP3,0.7098306683951543
DDX10,0.7089075940541
DCAF6,0.7059211583885789
SHMT1,0.7024494292948705
TAC1,0.7009222974446055
INPPL1,0.696821107328342
SRFBP1,0.6954073691827437
SUGT1,0.6938790285379625
ELN,0.6888029547547388
ATP1A1.AS1,0.6882499984518778
