gene,rf_importance
CBL,9.984230705764949
ARFGAP1,9.784851196788802
NPFF,6.755346737456754
DLEC1,6.181815028621645
TBC1D15,5.699658875614837
EXOSC2,5.437599867921782
DNM1P35,5.232140752613731
NUP35,5.2027330407259935
CSPG4,5.108552026851426
EIF2D,4.765234023028751
PRPF38B,4.721002479877278
KIAA0195,4.385609239606132
MARK4,4.327527172698017
SETDB2,4.322083547503838
CALCOCO2,4.321367049801546
CIAPIN1,4.221241694245847
PIP4K2C,4.167118912113951
ZMAT3,3.7761743181975134
HNRNPA3P1,3.748228214245301
BRD3,3.7419553791720577
METAP1D,3.6048053053249096
RPL23A,3.544553659756323
SRFBP1,3.492260319958234
EPS15L1,3.4879328079310197
COPB2,3.3772949851795544
ARF3,3.3547569475244865
BAZ2A,3.299433699770567
ISX,3.274613330193162
C6orf118,3.24513369389484
SRP14.AS1,3.1809783231162854
RPL12,3.165476087101597
CLIP1.AS1,3.0747179170863173
C19orf10,3.0743539195351968
RBM4,3.0357281510444176
KIAA0101,3.0329538831131697
BACE1,3.0031353107248377
LGALS8.AS1,2.9942803111004017
U2AF1L4,2.9461560243687863
PRDM5,2.937247384306655
PSMB5,2.921096508318503
ZNF593,2.9158075678030166
ZBTB11.AS1,2.9088545647469912
C4orf32,2.8862016153760814
EMR1,2.8036804678330243
KPNA2,2.8008119670101506
MTERF,2.7820155444285013
TMEM11,2.7811248602714493
DGKE,2.76819968071982
C9orf84,2.755788417843757
ARL6IP6,2.753348569877926
KDM1B,2.73388253492014
KIF5C,2.7192818009272437
SRSF11,2.7089086809692025
PSMA6,2.6870929131933186
IREB2,2.6862703884395125
ZNF76,2.6775315111974534
TMEM174,2.6570085108187067
PLEKHD1,2.640014086125023
CNOT8,2.6359474621719965
ARHGEF7.AS1,2.6196779692405374
CHTOP,2.6192568340270954
WAC.AS1,2.6178467444055467
PDCD4.AS1,2.5941077625395783
WDYHV1,2.5749183485548954
SETD4,2.5293188151584967
RCSD1,2.4942618013450315
MIAT,2.4924037942110586
GNB1L,2.4916113827432507
HNRNPUL2,2.445487636812835
KMT2E.AS1,2.4300268024021525
NUP153,2.4263935694533725
TSPAN15,2.426033393076161
SETMAR,2.4217182221228186
YY1AP1,2.4153056063870384
EGLN2,2.4049613627057167
DDX50,2.400476224534639
NUDT22,2.4003803449079384
TCP10,2.397735639921994
AKT3,2.3750706272580095
RBM5.AS1,2.3518983513405667
KANTR,2.3471810822678063
DEPDC1,2.340326272776147
ZC3H12A,2.324657347147334
DAPK1,2.312955997774801
ASCC3,2.310680183963113
GNL3,2.2973911321999525
TCIRG1,2.2797785764587584
EIF2B2,2.276924765633792
VEZT,2.252566114321689
UBE2D3,2.236555553398311
TRIM29,2.2255853608442435
SLC3A1,2.217747866153126
ARAP1,2.207491300575675
RBM26,2.2060292171134197
STK38L,2.202645737542245
THOC6,2.202055897166522
DDX49,2.199960307206696
PHF20,2.194953055959408
CCT6A,2.182588351477067
PCK1,2.1700853709059564
HNRNPDL,2.1659721477824503
RPL17,2.1589186329106793
EXD1,2.1586120294196376
CCT3,2.146264114747748
IBA57,2.135269238394275
ARHGAP31,2.133917659373351
